team_id,team_name,abbreviation,division,league
133,Athletics,ATH,American League West,American League
134,Pittsburgh Pirates,PIT,National League Central,National League
135,San Diego Padres,SD,National League West,National League
136,Seattle Mariners,SEA,American League West,American League
137,San Francisco Giants,SF,National League West,National League
138,St. Louis Cardinals,STL,National League Central,National League
139,Tampa Bay Rays,TB,American League East,American League
140,Texas Rangers,TEX,American League West,American League
141,Toronto Blue Jays,TOR,American League East,American League
142,Minnesota Twins,MIN,American League Central,American League
143,Philadelphia Phillies,PHI,National League East,National League
144,Atlanta Braves,ATL,National League East,National League
145,Chicago White Sox,CWS,American League Central,American League
146,Miami Marlins,MIA,National League East,National League
147,New York Yankees,NYY,American League East,American League
158,Milwaukee Brewers,MIL,National League Central,National League
108,Los Angeles Angels,LAA,American League West,American League
109,Arizona Diamondbacks,AZ,National League West,National League
110,Baltimore Orioles,BAL,American League East,American League
111,Boston Red Sox,BOS,American League East,American League
112,Chicago Cubs,CHC,National League Central,National League
113,Cincinnati Reds,CIN,National League Central,National League
114,Cleveland Guardians,CLE,American League Central,American League
115,Colorado Rockies,COL,National League West,National League
116,Detroit Tigers,DET,American League Central,American League
117,Houston Astros,HOU,American League West,American League
118,Kansas City Royals,KC,American League Central,American League
119,Los Angeles Dodgers,LAD,National League West,National League
120,Washington Nationals,WSH,National League East,National League
121,New York Mets,NYM,National League East,National League
