sample_bin,count,RMSE,MAE,avg_sample_size,metric
0-50,257,1.7763277144769594,1.3228276151750973,39.77976653696498,ERA
50-100,938,1.598664585373631,1.1721213714285714,75.91641791044776,ERA
100-150,1228,1.4751356905910735,1.1354893480456025,126.49307817589576,ERA
150-200,1388,1.504723752709232,1.1064079023054756,174.96296829971183,ERA
200-250,660,1.4878855991429538,1.1310852063636363,220.08939393939394,ERA
250-300,216,1.575032922049294,1.1277074097222222,274.08194444444445,ERA
300-350,116,1.530756450397118,1.1502954224137931,321.99655172413793,ERA
350-400,74,1.7167325853982756,1.3323668824324324,372.5567567567568,ERA
400-450,55,2.0628367022299314,1.357181510909091,423.6363636363636,ERA
450-500,44,1.3353109620354204,0.9218882749999999,472.17272727272723,ERA
500-550,18,1.2431728213319415,1.0459044277777778,517.5555555555555,ERA
550-600,1,0.18796299999999988,0.18796299999999988,587.4,ERA
600-650,2,1.4613353399089344,1.084502,614.7,ERA
0-50,257,1.2015271080877077,0.9215905805447471,39.77976653696498,FIP
50-100,938,1.0841511287392467,0.8174970659914712,75.91641791044776,FIP
100-150,1228,1.075282155370688,0.8186833708469056,126.49307817589576,FIP
150-200,1388,1.0591998226682775,0.7925583760806917,174.96296829971183,FIP
200-250,659,1.0083646847491217,0.7586384159332321,220.09650986342945,FIP
250-300,216,1.0478035533733632,0.7865139629629629,274.08194444444445,FIP
300-350,116,1.0631462833761631,0.7799389362068965,321.99655172413793,FIP
350-400,74,1.1852650164416476,0.9464838324324324,372.5567567567568,FIP
400-450,55,1.1610519574166203,0.8305393527272728,423.6363636363636,FIP
450-500,44,0.6148119518792259,0.4853259386363637,472.17272727272723,FIP
500-550,18,1.1722587222931933,0.806164961111111,517.5555555555555,FIP
550-600,1,0.17185300000000003,0.17185300000000003,587.4,FIP
600-650,2,0.6718775324941632,0.6278458500000001,614.7,FIP
0-50,257,0.0495023010067086,0.038765999400778205,39.77976653696498,K%
50-100,938,0.052090341572532645,0.04025574033368869,75.91641791044776,K%
100-150,1228,0.051081678455101906,0.03918148886074918,126.49307817589576,K%
150-200,1388,0.04781627892398141,0.03661397785518732,174.96296829971183,K%
200-250,659,0.04306188403542528,0.03333965280576632,220.09650986342945,K%
250-300,216,0.04042545350913671,0.029313432912037033,274.08194444444445,K%
300-350,116,0.04474786020191159,0.033638915086206894,321.99655172413793,K%
350-400,74,0.046223129536608516,0.03444482964864866,372.5567567567568,K%
400-450,55,0.041925783072709485,0.03399907134545454,423.6363636363636,K%
450-500,44,0.03093336587545427,0.02431901304545454,472.17272727272723,K%
500-550,18,0.03775825471423633,0.031238433888888886,517.5555555555555,K%
550-600,1,0.03081912999999989,0.03081912999999989,587.4,K%
600-650,2,0.0203339523669711,0.02032706499999999,614.7,K%
0-50,257,0.02934365739084985,0.0219223170389105,39.77976653696498,BB%
50-100,938,0.02927796797167848,0.022723398055437098,75.91641791044776,BB%
100-150,1228,0.02637404008379075,0.02019239456270358,126.49307817589576,BB%
150-200,1388,0.025832851216787685,0.019600134971181554,174.96296829971183,BB%
200-250,659,0.024812425323934597,0.01943895416388467,220.09650986342945,BB%
250-300,216,0.02355566140313088,0.018339251138888887,274.08194444444445,BB%
300-350,116,0.02589748758851501,0.01871067728448276,321.99655172413793,BB%
350-400,74,0.02415088823626681,0.017893624216216212,372.5567567567568,BB%
400-450,55,0.022375683957656774,0.01737376892727272,423.6363636363636,BB%
450-500,44,0.01989141720259058,0.014320886363636364,472.17272727272723,BB%
500-550,18,0.015040407774361088,0.012691788277777784,517.5555555555555,BB%
550-600,1,0.004348939999999996,0.004348939999999996,587.4,BB%
600-650,2,0.005904232595406492,0.0059038304999999985,614.7,BB%
