sample_bin,count,RMSE,MAE,avg_sample_size,metric
0-50,3,0.348134497170988,0.31691829999999993,50.0,ERA
50-100,197,1.3420206320195973,1.027711814213198,74.66497461928934,ERA
100-150,212,1.231912246161012,0.9043212608490566,124.94905660377358,ERA
150-200,197,1.2146085783872513,0.9384505172588833,174.09238578680203,ERA
200-250,210,1.2384461225669918,0.9070568042857142,223.27809523809523,ERA
250-300,237,1.3343202141731643,0.9976891329113924,274.462447257384,ERA
300-350,295,1.2145197668371586,0.888911779322034,326.0705084745763,ERA
350-400,300,1.076460699372264,0.8007048486666667,375.3363333333333,ERA
400-450,313,1.2718772567193384,0.9565618118210862,424.6744408945687,ERA
450-500,304,1.2721574287272934,0.9138524009868422,473.67565789473684,ERA
500-550,317,1.1397429490064033,0.8130798394321768,525.284858044164,ERA
550-600,334,0.9866766257208208,0.7739817802395209,574.8122754491018,ERA
600-650,254,0.9308137551020785,0.6790626799212598,621.0614173228347,ERA
650-700,109,0.8254664204986897,0.6691398110091742,668.7660550458716,ERA
700-750,25,0.6861922780389245,0.558163756,715.06,ERA
750-800,3,0.8270098966519184,0.7459069,763.1666666666666,ERA
0-50,3,0.6398262534196761,0.42818333333333314,50.0,FIP
50-100,197,0.9946549044291902,0.7537857030456853,74.66497461928934,FIP
100-150,212,1.0062988314116075,0.7362782509433962,124.94905660377358,FIP
150-200,197,0.8702852861629563,0.6803661842639595,174.09238578680203,FIP
200-250,210,0.8509559120843806,0.6195576695238095,223.27809523809523,FIP
250-300,237,0.9406845054699641,0.698828716877637,274.462447257384,FIP
300-350,295,0.809557027312556,0.6039630894915254,326.0705084745763,FIP
350-400,300,0.831150466308052,0.5868731303333333,375.3363333333333,FIP
400-450,313,0.904817289535009,0.6848419747603834,424.6744408945687,FIP
450-500,304,0.9394400144899117,0.6780380269736842,473.67565789473684,FIP
500-550,317,0.7339770889080947,0.5282914318611988,525.284858044164,FIP
550-600,334,0.6909974536264232,0.5207489814371257,574.8122754491018,FIP
600-650,254,0.6398627065797889,0.48154600866141734,621.0614173228347,FIP
650-700,109,0.6424495892814912,0.5084499357798165,668.7660550458716,FIP
700-750,25,0.5921872567115779,0.461333236,715.06,FIP
750-800,3,0.6377237213008624,0.5771794666666666,763.1666666666666,FIP
0-50,3,0.014753252396893145,0.013743516666666669,50.0,K%
50-100,197,0.040034482787542416,0.030309088883248722,74.66497461928934,K%
100-150,212,0.035283251459796064,0.028017330377358495,124.94905660377358,K%
150-200,197,0.034548792094134986,0.027729113888324875,174.09238578680203,K%
200-250,210,0.037367584692675024,0.029031977309523803,223.27809523809523,K%
250-300,237,0.03405703360647215,0.026417625864978898,274.462447257384,K%
300-350,295,0.03650909882234162,0.02734361148813559,326.0705084745763,K%
350-400,300,0.0360143040046965,0.027052059966666663,375.3363333333333,K%
400-450,313,0.035307025271153855,0.027303717565495208,424.6744408945687,K%
450-500,304,0.03258870300615441,0.024521813996710523,473.67565789473684,K%
500-550,317,0.031084202897737744,0.023984029268138796,525.284858044164,K%
550-600,334,0.02987898620102307,0.022825982098802388,574.8122754491018,K%
600-650,254,0.030141124214157596,0.02324376301968504,621.0614173228347,K%
650-700,109,0.03642794314060599,0.027327199357798166,668.7660550458716,K%
700-750,25,0.02473408219167179,0.02101841199999999,715.06,K%
750-800,3,0.04653244107858157,0.03932879999999996,763.1666666666666,K%
0-50,3,0.01764280059597678,0.015662884666666665,50.0,BB%
50-100,197,0.020999774865121546,0.01615598570050761,74.66497461928934,BB%
100-150,212,0.023264325649670514,0.017417456033018867,124.94905660377358,BB%
150-200,197,0.021633782891866227,0.016987906157360403,174.09238578680203,BB%
200-250,210,0.01827718313111086,0.013968388447619046,223.27809523809523,BB%
250-300,237,0.020281677218197233,0.015752205118143455,274.462447257384,BB%
300-350,295,0.01966761048937281,0.015017999020338985,326.0705084745763,BB%
350-400,300,0.01840993238885451,0.014193366476666665,375.3363333333333,BB%
400-450,313,0.019134006681451394,0.014491387434504788,424.6744408945687,BB%
450-500,304,0.018442549804983593,0.013596581078947368,473.67565789473684,BB%
500-550,317,0.014751030542538048,0.011414626085173499,525.284858044164,BB%
550-600,334,0.016517018183597177,0.012604751122754491,574.8122754491018,BB%
600-650,254,0.016999395347605636,0.012921297027559054,621.0614173228347,BB%
650-700,109,0.013753222951094556,0.011308815825688075,668.7660550458716,BB%
700-750,25,0.012828595842518154,0.010401681680000005,715.06,BB%
750-800,3,0.011200095516909661,0.008120049999999992,763.1666666666666,BB%
