sample_bin,count,RMSE,MAE,avg_sample_size,metric
0-100,146,0.052012493891137726,0.041122600205479455,85.41780821917808,wOBA
100-200,424,0.04600488562798249,0.03683808049528302,148.4433962264151,wOBA
200-300,373,0.04071338493314263,0.03241256584450402,247.66487935656838,wOBA
300-400,341,0.042423641655865964,0.03365765322580645,349.82697947214075,wOBA
400-500,335,0.04365102357134796,0.03359041017910448,449.5820895522388,wOBA
500-600,354,0.03985924647442632,0.0311852136440678,549.5621468926554,wOBA
600-700,289,0.03877918532727521,0.03031455117647059,647.9757785467128,wOBA
700-800,328,0.03633691472621883,0.028497226981707317,750.719512195122,wOBA
800-900,268,0.033187544131926545,0.026341844962686566,852.1156716417911,wOBA
900-1000,273,0.035406203748255746,0.02754225025641026,951.5750915750916,wOBA
1000-1100,282,0.0340115239336373,0.026982213687943263,1054.712765957447,wOBA
1100-1200,249,0.035308287821748725,0.027706133092369477,1150.1927710843374,wOBA
1200-1300,254,0.03550417953031586,0.02766439598425197,1250.0354330708662,wOBA
1300-1400,220,0.03163934466437529,0.02456319322727273,1350.0454545454545,wOBA
1400-1500,273,0.034545017983891944,0.027379622527472527,1449.2271062271063,wOBA
1500-1600,249,0.03817234769858716,0.02956501465863454,1549.5180722891566,wOBA
1600-1700,235,0.035169805851534744,0.027631776255319145,1647.395744680851,wOBA
1700-1800,220,0.03302827534809738,0.02543828222727273,1753.6181818181817,wOBA
1800-1900,229,0.030649114592442205,0.024605993930131003,1850.7336244541484,wOBA
1900-2000,227,0.03436757704972651,0.02756893308370044,1950.8325991189427,wOBA
2000-2100,216,0.03683225876366898,0.02776873888888889,2046.4305555555557,wOBA
2100-2200,251,0.03712362589351507,0.028847895019920317,2149.9561752988047,wOBA
2200-2300,239,0.03769440932924834,0.02896652008368201,2248.1380753138073,wOBA
2300-2400,290,0.03230843446498795,0.02565865213793103,2346.9172413793103,wOBA
2400-2500,270,0.03485039924414287,0.026807627814814817,2449.0481481481484,wOBA
2500-2600,275,0.03220612591058593,0.025598373854545456,2550.3054545454547,wOBA
2600-2700,279,0.031787411237302804,0.02368869200716846,2650.2580645161293,wOBA
2700-2800,261,0.03267595693722112,0.025379677816091954,2751.103448275862,wOBA
2800-2900,250,0.03477062673497281,0.025996177199999998,2849.46,wOBA
2900-3000,225,0.032414929977851135,0.02501097391111111,2950.16,wOBA
3000-3100,207,0.032025533085421984,0.025374992415458937,3049.903381642512,wOBA
3100-3200,201,0.0325624343841141,0.025373797512437814,3144.402985074627,wOBA
3200-3300,151,0.031068944336928125,0.024430181390728476,3246.4503311258277,wOBA
3300-3400,137,0.029552660315933062,0.023272036861313867,3350.934306569343,wOBA
3400-3500,77,0.030237687393475772,0.022325340779220777,3439.090909090909,wOBA
3500-3600,37,0.02584227901897414,0.020556360810810814,3534.2162162162163,wOBA
3600-3700,12,0.02346846804573888,0.016976618333333336,3639.6666666666665,wOBA
3700-3800,3,0.027827466819758,0.023133173333333312,3719.3333333333335,wOBA
