Avg EV,Bat Ctrl,Fld,Game,Hard Hit%,Hit,Max EV,Name,Org,Pitch Sel,Pos,Raw,Spd,Age,B,Bonus,ETA,FV,Ht,Org Rk,Risk,Sign Mkt,Sign Yr,T,Top 100,Wt,Year,MLB_Debut,Years_Played,Games_Played,WAR_Sum,Years_Before_Debut
,,45.0,50.0,,45.0,,Yoán Moncada,5,,18,60.0,70.0,21.0,2,,2017,70.0,74.0,1.0,,J2,2015,1,1.0,205.0,2017,2017.0,8,739,15.1,2.0
,,52.5,50.0,,65.0,,Andrew Benintendi,3,,23,55.0,55.0,22.0,0,,2017,65.0,70.0,1.0,,Draft,2015,0,2.0,175.0,2017,2017.0,8,997,12.1,2.0
,,57.5,45.0,,50.0,,Amed Rosario,17,,33,52.5,60.0,21.0,1,,2017,65.0,74.0,1.0,,J2,2012,1,3.0,170.0,2017,2017.0,8,942,7.6,5.0
,,57.5,42.5,,52.5,,Dansby Swanson,1,,33,50.0,60.0,23.0,1,,2017,65.0,73.0,1.0,,Draft,2015,1,4.0,190.0,2017,2017.0,8,1085,24.4,2.0
,,45.0,52.5,,60.0,,Austin Meadows,21,,23,57.5,57.5,21.0,0,,2017,65.0,75.0,1.0,,Draft,2013,0,5.0,200.0,2017,2018.0,6,417,6.0,5.0
,,45.0,52.5,,60.0,,Austin Meadows,21,,23,57.5,57.5,22.0,0,,2018,50.0,75.0,2.0,,Draft,2013,0,47.0,200.0,2018,2018.0,6,417,6.0,5.0
,,45.0,45.0,,50.0,,Gleyber Torres,18,,33,57.5,45.0,20.0,1,,2018,60.0,73.0,1.0,,J2,2013,1,7.0,185.0,2017,2018.0,7,888,15.2,5.0
,,45.0,45.0,,50.0,,Gleyber Torres,18,,33,57.5,45.0,21.0,1,,2018,60.0,73.0,1.0,,J2,2013,1,12.0,185.0,2018,2018.0,7,888,15.2,5.0
,,50.0,37.5,,55.0,,Victor Robles,30,,14,45.0,65.0,19.0,1,,2019,60.0,72.0,1.0,,J2,2013,1,8.0,185.0,2017,2017.0,8,607,7.3,4.0
,,50.0,37.5,,55.0,,Victor Robles,30,,14,45.0,65.0,20.0,1,,2018,65.0,72.0,1.0,,J2,2013,1,4.0,185.0,2018,2017.0,7,594,7.4,5.0
,,50.0,37.5,,55.0,,Victor Robles,30,,14,45.0,65.0,23.1,1,,2019,65.0,72.0,1.0,,J2,2013,1,5.0,185.0,2019,2017.0,6,573,6.8,6.0
,,55.0,35.0,,47.5,,J.P. Crawford,20,,33,42.5,50.0,22.0,0,,2017,60.0,74.0,1.0,,Draft,2013,1,9.0,180.0,2017,2017.0,8,773,15.3,4.0
,,55.0,35.0,,47.5,,J.P. Crawford,20,,33,42.5,50.0,23.0,0,,2018,55.0,74.0,3.0,,Draft,2013,1,29.0,180.0,2018,2017.0,7,750,14.7,5.0
