Name,Team,Position,Year,Level,Age,FV,IDfg,Hit,Game,Raw,Spd,FB,SL,CMD,CB,CH,2022_Composite,2022_Rank,2022_Value,2023_Composite,2023_Rank,2023_Value,2024_Composite,2024_Rank,2024_Value,2025_Composite,2025_Rank,2025_Value,has_mlb
Juan Yepez,STL,LF,2022,MLB,24.45,40,18400,50 / 55,50 / 55,60 / 60,40 / 40,,,,,,106.75,150.0,7125000.0,,,,,,,,,,False
Brendon Davis,DET,SS,2022,,25.0083333,35+,18587,30 / 30,45 / 45,60 / 60,40 / 40,,,,,,294.0,321.0,1947500.0,,,,,,,,,,False
Simon Muzziotti,PHI,CF,2022,,23.5944444,40,19553,45 / 50,30 / 40,45 / 50,60 / 60,,,,,,455.0,470.0,4725000.0,,,,,,,,,,False
Otto Lopez,TOR,2B,2022,MLB,23.8333333,40,19608,55 / 60,20 / 30,40 / 45,60 / 60,,,,,,261.0,242.0,6435000.0,,,,,,,,,,True
Cristian Pache,OAK,CF,2022,MLB,23.7,50,19948,35 / 40,40 / 45,50 / 55,60 / 60,,,,,,144.5,115.0,27087500.0,,,,,,,,,,False
Khalil Lee,NYM,RF,2022,,24.0972222,40,19952,30 / 40,35 / 50,55 / 60,55 / 55,,,,,,228.5,348.0,5640000.0,,,,,,,,,,False
Josh Lowe,TBR,CF,2022,MLB,24.4972222,45,19953,35 / 40,45 / 55,60 / 60,60 / 60,,,,,,40.125,39.0,29920000.0,,,,,,,,,,True
Colton Welker,COL,3B,2022,,24.8111111,40,19961,55 / 60,35 / 40,50 / 50,30 / 30,,,,,,260.0,393.0,5302500.000000001,,,,,,,,,,False
Miguel Vargas,LAD,3B,2022,MLB,22.7055555,45,20178,50 / 60,35 / 45,45 / 50,40 / 40,,,,,,58.42857142857143,66.0,25600000.0,,,,,,,,,,True
Kevin Smith,OAK,SS,2022,,26.075,40,20242,30 / 35,45 / 50,55 / 55,55 / 55,,,,,,205.5,313.0,5902500.0,,,,,,,,,,False
Royce Lewis,MIN,SS,2022,MLB,23.1555555,50,20437,30 / 40,40 / 60,60 / 70,60 / 50,,,,,,57.625,58.0,36960000.0,,,,,,,,,,True
Seth Beer,ARI,DH,2022,,25.8694444,40,20493,35 / 40,50 / 55,60 / 60,20 / 20,,,,,,129.16666666666666,126.0,7305000.0,,,,,,,,,,False
Drew Waters,KCR,CF,2022,MLB,23.5861111,40+,20505,30 / 35,40 / 45,55 / 55,60 / 60,,,,,,156.4,140.0,7200000.0,,,,,,,,,,True
Nolan Jones,CLE,RF,2022,MLB,24.2333333,50,20529,30 / 35,50 / 60,70 / 70,40 / 40,,,,,,115.25,113.0,27142500.0,,,,,,,,,,True
Vidal Brujan,TBR,2B,2022,MLB,24.4777777,50,20536,50 / 65,30 / 45,45 / 50,70 / 70,,,,,,42.66666666666666,34.0,42240000.0,,,,,,,,,,False
Jose Miranda,MIN,3B,2022,MLB,24.0888888,50,20538,50 / 55,45 / 50,55 / 55,40 / 40,,,,,,54.142857142857146,72.0,33880000.0,,,,,,,,,,False
Elehuris Montero,COL,3B,2022,,23.9555555,45,20543,30 / 50,35 / 50,55 / 60,30 / 30,,,,,,184.8,165.0,18700000.0,,,,,,,,,,False
Ivan Herrera,STL,C,2022,MLB,22.1666666,50,20599,50 / 60,40 / 45,50 / 50,50 / 40,,,,,,197.2,197.0,24832500.0,,,,,,,,,,True
Joey Bart,SFG,C,2022,MLB,25.6277777,50,21524,30 / 30,45 / 50,60 / 60,30 / 30,,,,,,82.55555555555556,67.0,34980000.0,,,,,,,,,,True
Matt Vierling,PHI,CF,2022,MLB,25.875,45,21558,50 / 50,40 / 40,55 / 55,50 / 50,,,,,,257.0,389.0,14220000.0,,,,,,,,,,True
Romy Gonzalez,CHW,SS,2022,MLB,25.9027777,45,21562,30 / 30,40 / 45,55 / 55,55 / 55,,,,,,314.0,408.0,13839999.999999998,,,,,,,,,,True
