Name,Team,Position,Year,Level,Age,FV,IDfg,Org_Rank,Hit,Game,Raw,Spd,FB,SL,CMD,CB,CH,has_mlb,2021_Top100,2021_OrgRank,2021_FV,2021_Value,2021_Composite,2022_Top100,2022_OrgRank,2022_FV,2022_Value,2022_Composite,2024_Top100,2024_OrgRank,2024_FV,2024_Value,2024_Composite,2023_Top100,2023_OrgRank,2023_FV,2023_Value,2023_Composite,2025_Top100,2025_OrgRank,2025_FV,2025_Value,2025_Composite
Konnor Griffin,PIT,SS/OF,2025,AA,19.0,65,,1,55 / 55,60 / 60,60 / 60,70 / 70,,,,,,False,,,,,,,,,,,,,,,,,,,,,1.0,1.0,65.0,135000000.0,1.0
Kevin McGonigle,DET,SS,2025,AA,21.0,65,,1,70 / 70,55 / 55,55 / 55,55 / 55,,,,,,False,,,,,,,,,,,,7.0,55.0,50000000.0,,,,,,,2.0,1.0,65.0,134545454.54545456,2.0
Leo De Vries,OAK,SS,2025,AA,19.0,60,,1,60 / 60,55 / 55,55 / 55,55 / 55,,,,,,False,,,,,,,,,,,,6.0,55.0,50000000.0,,,,,,,3.0,1.0,60.0,104292929.29292929,3.0
Jesús Made,MIL,SS/2B,2025,AA,18.0,60,,1,60 / 60,60 / 60,60 / 60,55 / 55,,,,,,False,,,,,,,,,,,,,,,,,,,,,4.0,1.0,60.0,103939393.93939394,4.0
JJ Wetherholt,STL,SS/2B/3B,2025,AAA,23.0,60,,1,65 / 65,55 / 55,55 / 55,55 / 55,,,,,,False,,,,,,,,,,,,,,,,,,,,,5.0,1.0,60.0,103585858.5858586,5.0
Sebastian Walcott,TEX,SS/3B,2025,AA,19.0,60,,1,50 / 50,65 / 65,65 / 65,55 / 55,,,,,,False,,,,,,,,,,,71.0,3.0,55.0,57323232.32323232,71.0,,15.0,55.0,50000000.0,,6.0,1.0,60.0,103232323.23232323,6.0
Samuel Basallo,BAL,C/1B,2025,MLB,21.0,60,,1,55 / 55,60 / 60,60 / 60,40 / 40,,,,,,False,,28.0,45.0,15000000.0,,,19.0,50.0,30000000.0,,17.0,2.0,60.0,99343434.34343433,17.0,,12.0,55.0,50000000.0,,7.0,1.0,60.0,102878787.87878788,7.0
Max Clark,DET,OF,2025,AA,21.0,60,,2,60 / 60,50 / 50,50 / 50,70 / 70,,,,,,False,,,,,,,,,,,13.0,1.0,60.0,100757575.75757577,13.0,,,,,,8.0,2.0,60.0,102525252.52525254,8.0
Colt Emerson,SEA,SS/3B,2025,AAA,20.0,60,,1,65 / 65,50 / 50,50 / 50,50 / 50,,,,,,False,,,,,,,,,,,87.0,3.0,55.0,53282828.28282829,87.0,,,,,,9.0,1.0,60.0,102171717.17171717,9.0
Walker Jenkins,MIN,OF,2025,AAA,20.0,60,,1,60 / 60,60 / 60,60 / 60,55 / 55,,,,,,False,,,,,,,,,,,10.0,1.0,60.0,101818181.81818183,10.0,,,,,,10.0,1.0,60.0,101818181.81818183,10.0
