Name,IDfg,position_group,WAR,prediction_year
Logan Allen,27589,SP,1.6,2025
Logan Allen,18555,RP,0.6,2025
Logan Allen,27589,SP,0.6,2026
Logan Allen,18555,RP,0.5,2026
Logan Allen,27589,SP,0.3,2027
Logan Allen,18555,RP,0.4,2027
Logan Allen,27589,SP,-0.1,2028
Logan Allen,18555,RP,0.4,2028
Logan Allen,27589,SP,-0.2,2029
Logan Allen,18555,RP,0.4,2029
Logan Allen,27589,SP,-0.3,2030
Logan Allen,18555,RP,0.4,2030
Logan Allen,27589,SP,-0.4,2031
Logan Allen,18555,RP,0.4,2031
Logan Allen,27589,SP,-0.5,2032
Logan Allen,18555,RP,0.4,2032
Logan Allen,27589,SP,-0.5,2033
Logan Allen,18555,RP,0.3,2033
Logan Allen,27589,SP,-0.6,2034
Logan Allen,18555,RP,0.3,2034
Logan Allen,27589,SP,-0.6,2035
Logan Allen,18555,RP,0.3,2035
Logan Allen,27589,SP,-0.6,2036
Logan Allen,18555,RP,0.3,2036
Logan Allen,27589,SP,-0.7,2037
Logan Allen,18555,RP,0.3,2037
Logan Allen,27589,SP,-0.7,2038
Logan Allen,18555,RP,0.3,2038
Logan Allen,27589,SP,-0.7,2039
Logan Allen,18555,RP,0.3,2039
Luis Garcia,6984,RP,0.6,2025
Luis Garcia,20391,POS,2.209321145592074,2025
Luis Garcia,6984,RP,0.6,2026
Luis Garcia,20391,POS,2.522790769300156,2026
Luis Garcia,6984,RP,0.5,2027
Luis Garcia,20391,POS,2.6223199855336103,2027
Luis Garcia,6984,RP,0.4,2028
Luis Garcia,20391,POS,2.3594622317332257,2028
Luis Garcia,6984,RP,0.4,2029
Luis Garcia,20391,POS,2.063454152531887,2029
Luis Garcia,6984,RP,0.4,2030
Luis Garcia,20391,POS,1.502066456159097,2030
Luis Garcia,6984,RP,0.4,2031
Luis Garcia,20391,POS,0.5882763999361045,2031
Luis Garcia,6984,RP,0.3,2032
Luis Garcia,20391,POS,-0.0939754471785495,2032
Luis Garcia,6984,RP,0.3,2033
Luis Garcia,20391,POS,-0.5647212483562877,2033
Luis Garcia,6984,RP,0.3,2034
Luis Garcia,20391,POS,-0.831204374634532,2034
Luis Garcia,6984,RP,0.3,2035
Luis Garcia,20391,POS,-0.9805795301411624,2035
Luis Garcia,6984,RP,0.3,2036
Luis Garcia,20391,POS,-1.070515556664488,2036
Luis Garcia,6984,RP,0.3,2037
Luis Garcia,20391,POS,-1.1496789367357734,2037
Luis Garcia,6984,RP,0.3,2038
Luis Garcia,20391,POS,-1.2810964518337502,2038
Luis Garcia,6984,RP,0.3,2039
Luis Garcia,20391,POS,-1.3969681879668716,2039
Will Smith,8048,RP,0.1,2025
Will Smith,19197,POS,2.9746213226293703,2025
Will Smith,8048,RP,0.1,2026
Will Smith,19197,POS,2.3750647619766627,2026
Will Smith,8048,RP,0.1,2027
Will Smith,19197,POS,1.608307189683977,2027
Will Smith,8048,RP,0.1,2028
Will Smith,19197,POS,0.6040233715528073,2028
Will Smith,8048,RP,0.1,2029
Will Smith,19197,POS,-0.0676934807612356,2029
Will Smith,8048,RP,0.2,2030
Will Smith,19197,POS,-0.4404379289117267,2030
Will Smith,8048,RP,0.2,2031
Will Smith,19197,POS,-0.7181437209681659,2031
Will Smith,8048,RP,0.3,2032
Will Smith,19197,POS,-0.9281307752341552,2032
Will Smith,8048,RP,0.3,2033
Will Smith,19197,POS,-1.1332075429572472,2033
Will Smith,8048,RP,0.3,2034
Will Smith,19197,POS,-1.3092826457276745,2034
Will Smith,8048,RP,0.3,2035
Will Smith,19197,POS,-1.446565899804409,2035
Will Smith,8048,RP,0.3,2036
Will Smith,19197,POS,-1.5555046473734335,2036
Will Smith,8048,RP,0.3,2037
Will Smith,19197,POS,-1.647384885335928,2037
Will Smith,8048,RP,0.3,2038
Will Smith,19197,POS,-1.7242604675622808,2038
Will Smith,8048,RP,0.3,2039
Will Smith,19197,POS,-1.7865624896537644,2039
