Name,Predicted_WAR_6_Years,Top 100,Org,Org Rk
Jordan Lawlar,16.132868,7.000000000000114,ARI,1.0
Curtis Mead,14.3973675,32.000000000000114,TBR,4.0
Cole Young,14.032634,64.0,SEA,2.0
Gino Groover,13.828266,,ARI,8.0
Roman Anthony,13.265043,27.0,BOS,1.0
Heston Kjerstad,12.459913,26.0,BAL,4.0
Josue De Paula,12.087195,29.0,LAD,1.0
Jackson Merrill,11.853556,6.0,SDP,1.0
Brooks Lee,11.628237,49.0,MIN,3.0
Kristian Campbell,11.577923,,BOS,6.000000000000002
Jackson Holliday,11.355862,1.0,BAL,1.0
Colson Montgomery,10.498056,14.0,CHW,1.0
Jeferson Quero,10.008685,41.0,MIL,3.0
Kevin McGonigle,9.43729,,DET,7.0
Noelvi Marte,9.103116,57.0,CIN,2.0
BJ Murray Jr.,8.994154,,CHC,14.0
Michael Busch,8.53816,74.0,CHC,7.0
Colt Keith,8.466532,50.0,DET,3.0
George Lombard Jr.,8.278724,,NYY,7.0
Brock Wilken,7.957611,,MIL,4.999999999999998
Jorge Barrosa,7.65496,,ARI,7.0
Dalton Rushing,7.459815,65.0,LAD,3.0
Junior Caminero,7.2517505,7.999999999999886,TBR,1.0
Parker Meadows,7.222708,,DET,6.000000000000002
Ceddanne Rafaela,7.096134,54.0,BOS,3.0
Luke Keaschall,7.058165,,MIN,4.999999999999998
Wyatt Langford,6.6131344,2.0,TEX,1.0
Austin Martin,6.586811,,MIN,9.0
Brayan Rocchio,6.319795,63.0,CLE,2.0
Angel Martínez,6.158668,,CLE,8.0
Carson Williams,6.0419497,16.0,TBR,2.0
Eric Brown Jr.,5.9670286,,MIL,9.0
Brett Harris,5.8966374,,OAK,22.0
Matt Shaw,5.881481,33.000000000000114,CHC,3.0
Darell Hernaiz,5.6514325,,OAK,7.0
Jacob Gonzalez,5.5916815,,CHW,9.0
Andy Pages,5.15753,68.0,LAD,4.0
Dominic Keegan,4.8217473,,TBR,10.0
Blake Mitchell,4.638318,,KCR,1.0
Dylan Crews,4.4800577,10.0,WSN,2.0
Tai Peete,4.134556,,SEA,6.000000000000002
Jackson Chourio,3.8211465,5.0,MIL,1.0
Jacob Wilson,3.662621,86.0,OAK,2.0
John Rave,3.6059368,,KCR,29.0
Hunter Feduccia,3.3488352,,LAD,25.0
Edgar Quero,3.182527,62.0,CHW,4.0
Colton Cowser,3.1334047,,BAL,6.000000000000002
Pedro Pagés,2.9412074,,STL,16.0
Pete Crow-Armstrong,2.755117,20.000000000000114,CHC,1.0
Bryan Ramos,2.420216,55.0,CHW,3.0
Emmanuel Rodriguez,2.29706,37.0,MIN,2.0
Diego Cartaya,2.0624578,110.99999999999989,LAD,8.0
Julio Carreras,1.9389417,,COL,23.0
Coby Mayo,1.9178879,20.999999999999886,BAL,3.0
Walker Jenkins,1.9097811,30.0,MIN,1.0
Thayron Liranzo,1.8440298,81.0,LAD,4.999999999999998
Brandon Valenzuela,1.7252603,,SDP,6.000000000000002
Brayden Taylor,1.696909,,TBR,4.999999999999998
Jonny Farmelo,1.6431024,95.0,SEA,4.999999999999998
Ronny Mauricio,1.5516261,,NYM,4.999999999999998
Bryce Eldridge,1.4914203,82.0,SFG,2.0
Kenedy Corona,1.4688752,,HOU,15.0
Trei Cruz,1.4410646,,DET,25.0
