Name,Predicted_WAR_6_Years,Top 100,Org,Org Rk
Paul Skenes,22.515686,4.000000000000114,PIT,1.0
Carson Whisenhunt,13.541373,102.0,SFG,3.0
Chayce McDermott,13.11771,,BAL,8.0
Jordan Leasure,12.239774,,CHW,13.0
Brody Hopkins,10.569946,,SEA,7.0
Drew Thorpe,10.548402,75.0,CHW,6.0
Keaton Winn,10.223603,,SFG,4.0
River Ryan,9.796251,34.0,LAD,2.0
Marco Raya,9.55982,,MIN,8.0
Cooper Hjerpe,9.203611,,STL,5.0
Yilber Diaz,8.793919,,ARI,6.0
Hunter Barco,8.744647,,PIT,8.0
Andrew Walters,8.48966,,CLE,14.0
Nick Frasso,8.373766,,LAD,10.000000000000002
Noah Schultz,8.278294,40.0,CHW,2.0
Rhett Lowder,7.902144,19.000000000000114,CIN,1.0
Jonah Tong,7.6739492,,NYM,18.0
Jonathan Cannon,7.5447693,,CHW,10.000000000000002
Joe Rock,7.1395597,,TBR,11.0
Andrew Painter,6.5117598,12.000000000000114,PHI,1.0
Chase Hampton,6.339795,110.0,NYY,6.0
Quinn Mathews,6.186577,,STL,11.0
Mike Burrows,5.395074,,PIT,5.0
Reggie Crawford,5.065429,,SFG,7.0
Jordy Vargas,5.0648026,,COL,5.0
Owen Wild,5.003636,,TBR,21.0
Robert Gasser,4.8394327,,MIL,8.0
Hurston Waldrep,4.6936607,98.0,ATL,3.0
Tink Hence,2.9697576,99.0,STL,3.0
David Festa,2.5563192,93.0,MIN,4.0
Ben Peoples,2.0444295,,TBR,15.0
Michael Forret,1.9240708,,BAL,17.0
Jacob Misiorowski,1.9024477,39.0,MIL,2.0
Jackson Finley,1.8058984,,OAK,31.0
Nick Nastrini,1.8040348,,CHW,7.0
Liam Simon,1.7243657,,SFG,24.0
Caleb Kilian,1.6158296,,CHC,29.0
Juan Mejia,1.5882279,,COL,9.0
Ricky Tiedemann,1.5130473,35.0,TOR,1.0
Julian Aguiar,1.457115,,CIN,7.0
Samuel Carpio,1.3765883,,MIA,23.0
Kumar Rocker,1.3258641,,TEX,9.0
Josh Ekness,1.266136,,MIA,22.0
Dax Fulton,1.2415726,,MIA,7.0
Joe Boyle,1.144892,,OAK,4.0
Connor Phillips,1.1164234,,CIN,6.0
Christian Scott,1.1053627,47.0,NYM,1.0
Anyer Laureano,1.0770268,,CIN,23.0
Miguel Ullola,0.9899926,,HOU,11.0
Elmer Rodriguez-Cruz,0.9562322,,BOS,7.0
Will Klein,0.8877935,,KCR,16.0
Beck Way,0.8822948,,KCR,37.0
Alex Cook,0.8542809,,TBR,45.0
Hayden Birdsong,0.85091686,,SFG,17.0
Patrick Reilly,0.8298957,,PIT,22.0
Justin Slaten,0.8298608,,BOS,17.0
T.J. Nichols,0.82587755,,TBR,32.0
Spencer Arrighetti,0.823865,,HOU,7.0
Ty Floyd,0.8206712,,CIN,8.0
Andrew Moore,0.81146157,,CIN,10.000000000000002
Angel Chivilli,0.8113121,,COL,6.0
Seth Keener,0.8018478,,CHW,24.0
Felix Arronde,0.7724678,,KCR,13.0
Hunter Parks,0.7640079,,CIN,37.0
Andrew Hoffmann,0.7591735,,KCR,27.0
Cade Horton,0.74760056,31.000000000000114,CHC,2.0
Ben Brown,0.7116883,,CHC,12.0
Calvin Ziegler,0.6955662,,NYM,25.0
Abel Mercedes,0.6928153,,HOU,13.0
Chase Dollander,0.66963404,83.0,COL,1.0
Justin Martinez,0.6602466,,ARI,14.0
Yohanfer Santana,0.6569631,,MIA,5.0
Kyle Hurt,0.64032894,109.0,LAD,7.0
Jake Bennett,0.63067764,,WSN,19.0
Alonzo Tredwell,0.6213727,,HOU,8.0
Luis Mey,0.54250515,,CIN,22.0
Victor Vodnik,0.53891104,,COL,30.0
Mason Barnett,0.534502,,KCR,7.0
Blade Tidwell,0.51487595,,NYM,7.0
Richard Fernandez,0.4809605,,OAK,25.0
T.J. Brock,0.47930932,,TOR,6.0
Maddux Bruns,0.47542343,,LAD,18.0
Ben Joyce,0.44151503,,LAA,8.0
Alex Speas,0.40897742,,HOU,32.0
Kyle Nicolas,0.40793824,,PIT,21.0
Garrett Hawkins,0.38506302,,SDP,31.0
Kade Strowd,0.3730656,,BAL,41.0
Emerson Hancock,0.33298767,,SEA,8.0
Raimon Gomez,0.3325309,,NYM,40.0
Quinton Low,0.3179174,,MIL,25.0
Seth Halvorsen,0.29338843,,COL,14.0
Darren Bowen,0.26311648,,MIN,28.0
Jack Mahoney,0.23816907,,COL,27.0
Roddery Muñoz,0.20423546,,MIA,21.0
Skylar Hales,0.17212951,,TEX,27.0
Peyton Pallette,0.15077233,,CHW,15.0
Carlos Mateo,0.06467664,,PIT,39.0
Dom Hamel,0.045801222,,NYM,17.0
Joel Hurtado,0.027193844,,LAA,10.000000000000002
Bradgley Rodriguez,0.026322126,,SDP,18.0
Logan Evans,0.025382727,,SEA,10.000000000000002
Luis Gil,-0.010171294,,NYY,12.0
Jake Eder,-0.018649444,,CHW,8.0
Yoniel Curet,-0.026064456,,TBR,9.0
Blake Burkhalter,-0.030607358,,ATL,13.0
Ricardo Yan,-0.03498991,,ARI,25.0
Michael Arias,-0.038147047,,CHC,15.0
Andrew Morris,-0.03903374,,MIN,16.0
Peter Heubeck,-0.06251447,,LAD,15.0
Jordan Wicks,-0.064094156,48.0,CHC,5.0
Tyler Gough,-0.06907645,,SEA,24.0
Tyler Mattison,-0.07412392,,DET,13.0
Brandon Barriera,-0.08837682,,TOR,11.0
Tyler Woessner,-0.093465775,,MIL,23.0
Robby Ahlstrom,-0.09782776,,TEX,36.0
Prelander Berroa,-0.12391198,,CHW,12.0
Thomas White,-0.12615703,,MIA,4.0
Connor Prielipp,-0.12661198,,MIN,18.0
Clayton Beeter,-0.14085218,,NYY,22.0
Keshawn Askew,-0.14167956,,TBR,39.0
Emiliano Teodo,-0.15179814,,TEX,8.0
Chen-Wei Lin,-0.17220166,,STL,12.0
Alimber Santa,-0.17508271,,HOU,12.0
Dane Acker,-0.18975355,,TEX,28.0
McKinley Moore,-0.19115067,,NYY,28.0
Wen Hui Pan,-0.21423912,,PHI,23.0
Jaxon Wiggins,-0.22093186,,CHC,19.0
Mick Abel,-0.23933288,72.0,PHI,2.0
Eriq Swan,-0.24537277,,LAD,37.0
Alex McFarlane,-0.25624314,,PHI,9.0
Grant Holman,-0.3028605,,OAK,9.0
Trevor McDonald,-0.3059991,,SFG,20.0
Sauryn Lao,-0.32013282,,LAD,36.0
Orion Kerkering,-0.33115867,,PHI,8.0
Will Warren,-0.34133703,92.0,NYY,5.0
Carlos Rodriguez,-0.36193067,,MIL,19.0
Anderson Brito,-0.36545438,,HOU,22.0
Walbert Urena,-0.38220844,,LAA,14.0
Yordin Chalas,-0.38566402,,ARI,17.0
Kohl Franklin,-0.3917412,,CHC,30.0
Sawyer Gipson-Long,-0.39350054,,DET,16.0
Angel Bastardo,-0.40419084,,BOS,29.0
Eduarniel Nunez,-0.4101017,,CHC,39.0
Brandon Birdsell,-0.43660784,,CHC,13.0
Nolan McLean,-0.44547692,,NYM,11.0
Slade Cecconi,-0.45189577,,ARI,5.0
Noble Meyer,-0.4549485,84.0,MIA,2.0
Keythel Key,-0.49276042,,LAA,21.0
Drue Hackenberg,-0.49814495,,ATL,7.0
Brody McCullough,-0.5019455,,CHC,16.0
Tanner Kiest,-0.5087944,,SFG,38.0
Yosber Sanchez,-0.5205194,,DET,29.0
Mitch Spence,-0.5474142,,OAK,12.0
Freddy Tarnok,-0.5477811,,OAK,16.0
AJ Smith-Shawver,-0.5495929,25.000000000000114,ATL,1.0
Sean Reynolds,-0.55256104,,SDP,22.0
Cade Denton,-0.5624825,,COL,44.0
Cole Waites,-0.568607,,SFG,42.0
Justin Wrobleski,-0.5759198,,LAD,11.0
Jeff Criswell,-0.5759773,,COL,39.0
Cade Povich,-0.5818152,94.0,BAL,5.0
Orlando Ribalta,-0.5956014,,WSN,12.0
Mason Black,-0.5959107,,SFG,16.0
Sabier Marte,-0.5994717,,NYY,17.0
Joe Whitman,-0.60465616,,SFG,6.0
JR Ritchie,-0.6091336,,ATL,4.0
Adam Macko,-0.61333615,,TOR,7.0
Troy Taylor,-0.618832,,SEA,20.0
Francis Pena,-0.62484497,,SDP,9.0
Stephen Kolek,-0.6414859,,SDP,16.0
Tanner McDougal,-0.6470946,,CHW,26.0
Bryce Montes de Oca,-0.65108675,,NYM,41.0
David Sandlin,-0.6540003,,BOS,14.0
Eric Adler,-0.6549921,,CHW,29.0
Juaron Watts-Brown,-0.65774447,,TOR,13.0
Zach Fruit,-0.6743481,,BAL,34.0
Noah Murdock,-0.6861565,,KCR,38.0
Sean Burke,-0.69103205,,CHW,23.0
Jared Johnson,-0.7124793,,ATL,20.0
Marques Johnson,-0.71995986,,SFG,37.0
Raimy Rodriguez,-0.74766624,,HOU,30.0
Edwin Nuñez,-0.75586975,,STL,28.0
Luis German,-0.7650774,,SDP,30.0
Blake Wolters,-0.7685422,,KCR,8.0
Cade Smith,-0.76982886,,CLE,27.0
Bryce Jarvis,-0.7788572,,ARI,29.0
Hunter Stratton,-0.7841311,,PIT,20.0
Izack Tiger,-0.7857594,,TEX,14.0
Hiro Wyatt,-0.7876208,,KCR,21.0
Austin Vernon,-0.7882726,,TBR,33.0
Jedixson Paez,-0.79874957,,BOS,8.0
Luis Perales,-0.8020693,,BOS,10.000000000000002
Brandon Young,-0.80247384,,BAL,10.000000000000002
Nazier Mulé,-0.81311417,,CHC,18.0
Madison Jeffrey,-0.81855345,,LAD,47.0
Chase Petty,-0.89095473,,CIN,3.0
