Team,Position_Games,SP_IP,RP_IP,Total_IP,Players
ARI,1451.1627906976746,594.25,351.125,945.375,25
ATL,1451.1627906976746,844.875,498.4677270898438,1343.3427270898437,37
BAL,1451.1627906976744,896.25,339.75,1236.0,25
BOS,1451.1627906976746,820.25,351.875,1172.125,27
CHC,1443.0232558139537,1038.9375,439.6375,1478.575,25
CHW,1451.1627906976746,385.0,493.35125,878.3512499999999,27
CIN,1443.0232558139535,696.25,396.1375,1092.3875,26
CLE,1451.1627906976744,725.0,442.5,1167.5,27
COL,1451.1627906976746,849.25,438.35,1287.6,23
DET,1451.1627906976746,690.875,477.25,1168.125,26
HOU,1430.2325581395348,767.75,441.75,1209.5,31
KC,1423.8372093023258,1068.2125,467.97499999999997,1536.1875,31
LAA,1396.6279069767445,575.75,431.5375,1007.2875,27
LAD,1451.1627906976746,667.0,438.25,1105.25,27
MIA,1451.1627906976744,519.4275,490.0,1009.4275,31
MIL,1340.697674418605,651.3499999999999,399.5,1050.85,22
MIN,1451.1627906976746,1065.0,360.0,1425.0,27
NYM,1419.4186046511627,887.5,308.1625,1195.6625,27
NYY,1451.1627906976744,883.0,474.5,1357.5,32
OAK,1451.1627906976746,612.3,445.0,1057.3,24
PHI,1451.1627906976746,595.5,474.6375,1070.1375,30
PIT,1451.1627906976746,430.5,476.75,907.25,25
SD,1430.232558139535,730.0,441.5,1171.5,30
SEA,1443.0232558139537,951.625,417.05,1368.675,24
SF,1417.7616279069769,839.9,448.1,1288.0,28
STL,1419.011627906977,726.75,445.0,1171.75,31
TB,1451.1627906976746,365.75,498.4416666666667,864.1916666666667,27
TEX,1451.1627906976746,701.5,398.75,1100.25,29
TOR,1451.1627906976746,602.5,483.5,1086.0,28
WSH,1451.1627906976748,455.5,200.0,655.5,17
