Name,IDfg,Role,row_type,Season,IP,TBF,sequence_TBF,career_TBF,career_weight,seq_position,Age_raw,Age_regressed,Age_league,K%_raw,K%_regressed,K%_league,BB%_raw,BB%_regressed,BB%_league,HR%_raw,HR%_regressed,HR%_league,HBP%_raw,HBP%_regressed,HBP%_league,BABIP_raw,BABIP_regressed,BABIP_league,FIP_raw,FIP_regressed,FIP_league,ERA_raw,ERA_regressed,ERA_league,GB%_raw,GB%_regressed,GB%_league,FB%_raw,FB%_regressed,FB%_league,HR/FB_raw,HR/FB_regressed,HR/FB_league,SIERA_raw,SIERA_regressed,SIERA_league,LD%_raw,LD%_regressed,LD%_league,K%_eff_n0,BB%_eff_n0,HR%_eff_n0,HBP%_eff_n0,BABIP_eff_n0,FIP_eff_n0,ERA_eff_n0,GB%_eff_n0,FB%_eff_n0,HR/FB_eff_n0,SIERA_eff_n0,LD%_eff_n0
Clayton Kershaw,2036,SP,league_prior,,,,1119.0,11279.0,1.0,,,,,,,0.22509930679789397,,,0.08394600339594414,,,0.03088562074255795,,,0.01102862893759361,,,0.2906758766031095,,,4.2401753115223695,,,4.284774850358248,,,0.42127621255771375,,,0.3811043169984658,,,0.12059829402033562,,,4.117859520451341,,,0.19759822304401076,,,,,,,,,,,,
Clayton Kershaw,2036,SP,season,2023,131.2,523.0,1119.0,11279.0,1.0,1,35,35,,0.262,0.23646678722453146,0.22509930679789397,0.076,0.07633001802073175,0.08394600339594414,0.036328871892925434,0.033703347512872295,0.03088562074255795,0.0057361376673040155,0.0058134837558699096,0.01102862893759361,0.25,0.264664578479728,0.2906758766031095,4.03,4.02300242341849,4.2401753115223695,2.46,3.062240334561391,4.284774850358248,0.475,0.4743714720147784,0.42127621255771375,0.331,0.3311520484752038,0.3811043169984658,0.168,0.13546183026572295,0.12059829402033562,3.82,4.043461875797218,4.117859520451341,0.1939999999999999,0.19447647951001779,0.19759822304401076,377.5,377.5,141.6,141.6,566.3,622.9,622.9,33.0,33.0,566.3,622.9,33.0
Clayton Kershaw,2036,SP,season,2024,30.0,133.0,1119.0,11279.0,1.0,2,36,36,,0.18,0.1956000715946064,0.22509930679789397,0.068,0.07449803766944907,0.08394600339594414,0.015037593984962405,0.019661000592074176,0.03088562074255795,0.015037593984962405,0.010428809463835424,0.01102862893759361,0.354,0.29262260752187125,0.2906758766031095,3.53,3.9314217675407157,4.2401753115223695,4.5,3.731866027526286,4.284774850358248,0.385,0.40080164419523356,0.42127621255771375,0.344,0.3419226981990542,0.3811043169984658,0.061,0.09696519209534012,0.12059829402033562,4.51,4.280148957971247,4.117859520451341,0.271,0.25727565760571225,0.19759822304401076,377.5,377.5,141.6,141.6,566.3,622.9,622.9,33.0,33.0,566.3,622.9,33.0
Clayton Kershaw,2036,SP,season,2025,112.2,463.0,1119.0,11279.0,1.0,3,37,37,,0.181,0.19002622296987656,0.22509930679789397,0.076,0.07635357568836906,0.08394600339594414,0.017278617710583154,0.018853608268136403,0.03088562074255795,0.004319654427645789,0.004736380558158339,0.01102862893759361,0.281,0.2794637650853272,0.2906758766031095,3.55,3.8179627263146414,4.2401753115223695,3.36,3.479239764023137,4.284774850358248,0.475,0.47429544568415327,0.42127621255771375,0.3329999999999999,0.3330372459813685,0.3811043169984658,0.071,0.08993276305779227,0.12059829402033562,4.46,4.328679327685973,4.117859520451341,0.192,0.1926673083344781,0.19759822304401076,377.5,377.5,141.6,141.6,566.3,622.9,622.9,33.0,33.0,566.3,622.9,33.0
Kenley Jansen,3096,RP,league_prior,,,,640.0,3680.0,0.64,,,,,,,0.22509930679789397,,,0.08394600339594414,,,0.03088562074255795,,,0.01102862893759361,,,0.2906758766031095,,,4.2401753115223695,,,4.284774850358248,,,0.42127621255771375,,,0.3811043169984658,,,0.12059829402033562,,,4.117859520451341,,,0.19759822304401076,,,,,,,,,,,,
Kenley Jansen,3096,RP,season,2023,44.2,188.0,640.0,3680.0,0.64,1,35,35,,0.2769999999999999,0.253645581923235,0.22509930679789397,0.09,0.08760846902622237,0.08394600339594414,0.026595744680851064,0.027567366803371053,0.03088562074255795,0.010638297872340425,0.00918409525817824,0.01102862893759361,0.313,0.27096355605826816,0.2906758766031095,3.66,3.937933029262656,4.2401753115223695,3.63,3.725151246977232,4.284774850358248,0.226,0.2446054120379393,0.42127621255771375,0.565,0.5530299372434753,0.3811043169984658,0.077,0.08846032104579879,0.12059829402033562,3.86,3.8785663016263685,4.117859520451341,0.209,0.20236323542339824,0.19759822304401076,487.8,487.8,182.9,182.9,731.7,804.9,804.9,42.7,42.7,731.7,804.9,42.7
Kenley Jansen,3096,RP,season,2024,54.2,218.0,640.0,3680.0,0.64,2,36,36,,0.284,0.2568003242770404,0.22509930679789397,0.092,0.08832785471624055,0.08394600339594414,0.01834862385321101,0.02301037318078033,0.03088562074255795,0.0045871559633027525,0.006002659732715337,0.01102862893759361,0.26,0.26012557840272166,0.2906758766031095,3.0,3.7891195992947724,4.2401753115223695,3.29,3.6498983490378447,4.284774850358248,0.306,0.30936545537563903,0.42127621255771375,0.537,0.5309920608578582,0.3811043169984658,0.0559999999999999,0.08327787215560584,0.12059829402033562,3.42,3.784247150713105,4.117859520451341,0.157,0.15964123134679084,0.19759822304401076,487.8,487.8,182.9,182.9,731.7,804.9,804.9,42.7,42.7,731.7,804.9,42.7
Kenley Jansen,3096,RP,season,2025,59.0,234.0,640.0,3680.0,0.64,3,37,37,,0.244,0.24443575670504142,0.22509930679789397,0.081,0.08484319320735856,0.08394600339594414,0.03418803418803419,0.03172133581055733,0.03088562074255795,0.004273504273504274,0.005772301432454352,0.01102862893759361,0.195,0.2443733841452032,0.2906758766031095,3.98,3.9977043188060337,4.2401753115223695,2.59,3.4866853773289463,4.284774850358248,0.273,0.2812616349660464,0.42127621255771375,0.591,0.5770090925995054,0.3811043169984658,0.088,0.09057982992359906,0.12059829402033562,3.94,3.8957636523126777,4.117859520451341,0.136,0.14172809243957163,0.19759822304401076,487.8,487.8,182.9,182.9,731.7,804.9,804.9,42.7,42.7,731.7,804.9,42.7
Max Scherzer,3137,SP,league_prior,,,,1156.0,11987.0,1.0,,,,,,,0.22509930679789397,,,0.08394600339594414,,,0.03088562074255795,,,0.01102862893759361,,,0.2906758766031095,,,4.2401753115223695,,,4.284774850358248,,,0.42127621255771375,,,0.3811043169984658,,,0.12059829402033562,,,4.117859520451341,,,0.19759822304401076,,,,,,,,,,,,
Max Scherzer,3137,SP,season,2023,152.2,621.0,1156.0,11987.0,1.0,1,38,38,,0.28,0.26440878910615956,0.22509930679789397,0.072,0.07063051171302101,0.08394600339594414,0.04508856682769726,0.04551650880083439,0.03088562074255795,0.00644122383252818,0.0063553953419729315,0.01102862893759361,0.265,0.27122086861289996,0.2906758766031095,4.32,4.651104347580203,4.2401753115223695,3.77,4.352157571938608,4.284774850358248,0.332,0.33068630613425276,0.42127621255771375,0.486,0.48690775942456394,0.3811043169984658,0.146,0.14329157763552036,0.12059829402033562,3.77,3.8866988372074847,4.117859520451341,0.182,0.18240593444118333,0.19759822304401076,371.1,371.1,139.1,139.1,556.6,612.2,612.2,32.5,32.5,556.6,612.2,32.5
Max Scherzer,3137,SP,season,2024,43.1,177.0,1156.0,11987.0,1.0,2,39,39,,0.226,0.2343380443057671,0.22509930679789397,0.0559999999999999,0.06435370186719455,0.08394600339594414,0.03954802259887006,0.043015548255424294,0.03088562074255795,0.005649717514124294,0.00579171859719493,0.01102862893759361,0.277,0.27788138811569785,0.2906758766031095,4.18,4.805974313343265,4.2401753115223695,3.95,4.720025597049055,4.284774850358248,0.32,0.3177617252003965,0.42127621255771375,0.4589999999999999,0.4660169093536972,0.3811043169984658,0.125,0.13658542769083656,0.12059829402033562,4.01,4.006172886344764,4.117859520451341,0.221,0.2162213654459062,0.19759822304401076,371.1,371.1,139.1,139.1,556.6,612.2,612.2,32.5,32.5,556.6,612.2,32.5
Max Scherzer,3137,SP,season,2025,85.0,358.0,1156.0,11987.0,1.0,3,40,40,,0.2289999999999999,0.2337411284095065,0.22509930679789397,0.064,0.06620812341314142,0.08394600339594414,0.05307262569832402,0.0514922954350582,0.03088562074255795,0.00558659217877095,0.005694562005500062,0.01102862893759361,0.293,0.28396989931295163,0.2906758766031095,4.99,4.98807127634353,4.2401753115223695,5.19,5.033910645632875,4.284774850358248,0.271,0.2738736401835028,0.42127621255771375,0.542,0.5388627596276786,0.3811043169984658,0.14,0.14016413611036926,0.12059829402033562,4.26,4.099131589617834,4.117859520451341,0.187,0.1872636001888186,0.19759822304401076,371.1,371.1,139.1,139.1,556.6,612.2,612.2,32.5,32.5,556.6,612.2,32.5
T.J. McFarland,3237,RP,league_prior,,,,454.0,2370.0,0.454,,,,,,,0.22509930679789397,,,0.08394600339594414,,,0.03088562074255795,,,0.01102862893759361,,,0.2906758766031095,,,4.2401753115223695,,,4.284774850358248,,,0.42127621255771375,,,0.3811043169984658,,,0.12059829402033562,,,4.117859520451341,,,0.19759822304401076,,,,,,,,,,,,
