Name,IDfg,mlbam_id,snapshot_year,Team,Age,Position,player_type,proj_BB%,proj_K%,proj_AVG,proj_OBP,proj_SLG,proj_wOBA,proj_HR,proj_2B,proj_3B,proj_RBI,proj_R,proj_HBP,proj_WAR,service_time,years_of_control,status,salary_source,total_future_WAR,total_future_WAR_value,total_future_salary,surplus,WAR_2021,WAR_2022,WAR_2023,salary_2021,salary_2022,salary_2023,WAR_2024,WAR_2025,WAR_2026,salary_2024,salary_2025,salary_2026,WAR_2027,WAR_2028,WAR_2029,WAR_2030,WAR_2031,salary_2027,salary_2028,salary_2029,salary_2030,salary_2031,WAR_2032,WAR_2033,WAR_2034,salary_2032,proj_Role,proj_FIP,proj_ERA
Dylan Carlson,20126,666185,2021,STL,22,cf,batter,0.07894287,0.28057268,0.24639145,0.30703613,0.44603243,0.32589194,18.523027,25.278814,2.3225296,65.39777,67.91917,3.7975154,12.99,0.094,6,Pre-Arb,cots,76.57,688557874,97986024,590571850,12.993,13.002,12.921,570500,700000.0,720000.0,12.831,12.592,12.229,17640484.0,29979560.0,48375479.0,,,,,,,,,,,,,,,,,
Francisco Lindor,12916,596019,2021,NYM,27,ss,batter,0.08919785,0.1588153,0.26934648,0.32059076,0.46719706,0.3447537,24.155722,32.035263,2.9423652,89.78566,88.77198,5.5367794,5.2,5.113,11,Arb-3,cots,33.92,282586191,22300000,260286191,5.196,5.199,4.924,22300000,,,4.579,4.121,3.462,,,,2.741,1.975,1.213,0.513,0.0,,,,,,,,,,,,
Austin Hays,19363,669720,2021,BAL,25,of,batter,0.06483102,0.19215222,0.25107443,0.32487327,0.4084568,0.3039303,18.43995,26.85977,1.6078004,68.278206,73.64876,4.54444,7.44,1.057,5,Pre-Arb,cots,36.35,308319713,51596924,256722789,7.442,7.475,7.377,570500,700000.0,9398813.0,7.184,6.875,,15826631.0,25100980.0,,,,,,,,,,,,,,,,,,
Trent Grisham,18564,663757,2021,SD,24,cf,batter,0.117443725,0.2432875,0.2521337,0.34071177,0.44605538,0.34397036,22.28339,25.487446,5.027205,70.38306,88.62142,8.09051,6.13,1.06,5,Pre-Arb,cots,29.02,240265806,39785022,200480783,6.133,6.004,5.853,570500,700000.0,7284578.0,5.672,5.359,,12193137.0,19036807.0,,,,,,,,,,,,,,,,,,
Ke'Bryan Hayes,18577,663647,2021,PIT,24,3b,batter,0.09400341,0.20796826,0.26123735,0.34494495,0.44150388,0.33616796,25.59176,31.109943,3.0403452,81.0494,85.49837,5.631455,4.39,0.075,6,Pre-Arb,cots,25.76,208868577,30197975,178670601,4.388,4.5,4.403,570500,700000.0,720000.0,4.377,4.183,3.909,5447707.0,8957109.0,13802659.0,,,,,,,,,,,,,,,,,
Xander Bogaerts,12161,593428,2021,BOS,28,ss,batter,0.09228486,0.178955,0.26159137,0.36805323,0.47628626,0.3466492,26.43518,32.912632,0.6996111,86.45102,92.46666,3.3507128,4.85,7.042,6,Signed,cots,21.6,170255474,100,170255374,4.85,4.512,3.916,17,17.0,17.0,3.474,2.804,2.042,17.0,17.0,17.0,,,,,,,,,,,,,,,,,
Ramon Laureano,17128,657656,2021,ATH,26,cf,batter,0.09056329,0.26460752,0.24164303,0.3124006,0.42940542,0.32435966,17.93845,27.221292,2.317825,63.26953,76.3567,13.350514,7.03,2.059,4,Pre-Arb,cots,25.21,206236634,40720801,165515832,7.034,6.305,6.128,570500,7606973.0,12778406.0,5.739,,,19764922.0,,,,,,,,,,,,,,,,,,,
Brandon Lowe,18882,664040,2021,TB,26,2b-of,batter,0.10668387,0.2692004,0.23998919,0.34079444,0.4779592,0.34943056,29.570793,28.483374,2.217845,86.13427,85.58275,9.825625,5.11,2.058,6,Pre-Arb,cots,23.83,190261544,27227116,163034428,5.109,4.956,4.283,570500,5809211.0,8513065.0,3.785,3.209,2.49,12334341.0,,,,,,,,,,,,,,,,,,,
Andres Gimenez,19950,665926,2021,CLE,22,ss,batter,0.061543405,0.20386031,0.25347683,0.33096227,0.41370898,0.3189418,13.236744,23.53402,2.8398588,58.818905,74.12221,9.747178,4.59,1.0,5,Pre-Arb,cots,23.75,192256266,33700280,158555986,4.594,4.776,4.873,570500,700000.0,5925317.0,4.824,4.688,,10153735.0,16350728.0,,,,,,,,,,,,,,,,,,
Will Smith,19197,669257,2021,LAD,26,c,batter,0.11302658,0.20783629,0.2548886,0.35142666,0.46981913,0.35151762,34.958275,28.963835,0.33267534,102.77899,88.612785,9.200537,5.04,1.09,5,Pre-Arb,cots,23.44,188578291,31062247,157516044,5.037,4.913,4.672,570500,700000.0,5647752.0,4.563,4.254,,9526209.0,14617785.0,,,,,,,,,,,,,,,,,,
Daulton Varsho,19918,662139,2021,ARI,24,c,batter,0.10020168,0.27819014,0.23530824,0.3170679,0.41612625,0.3119076,17.212196,24.998394,3.0399046,58.55225,71.030785,6.269915,4.21,0.167,6,Pre-Arb,cots,22.59,179707867,23743250,155964617,4.214,4.246,4.079,570500,700000.0,720000.0,3.773,3.379,2.904,4609678.0,7103492.0,10039579.0,,,,,,,,,,,,,,,,,
Juan Soto,20123,665742,2021,WSH,22,lf,batter,0.18566051,0.1720795,0.2900937,0.4248115,0.5930617,0.42231032,36.84277,33.012177,2.2879903,105.79248,112.8245,3.7492135,6.48,2.134,4,Pre-Arb,cots,23.86,194102107,38580850,155521257,6.478,6.061,5.932,570500,7282053.0,12323892.0,5.385,,,18404406.0,,,,,,,,,,,,,,,,,,,
Yordan Alvarez,19556,670541,2021,HOU,24,1b-of,batter,0.14680895,0.2555511,0.2755901,0.39094436,0.5679126,0.3990073,45.809193,32.086994,0.24399385,123.568535,104.106995,4.935613,5.56,1.113,5,Pre-Arb,cots,22.77,181723009,27337544,154385465,5.561,4.966,4.509,570500,700000.0,5421129.0,4.135,3.597,,8496694.0,12149220.0,,,,,,,,,,,,,,,,,,
Ian Happ,17919,664023,2021,CHC,26,cf,batter,0.12454083,0.26756507,0.2453363,0.34305233,0.4380484,0.34173492,28.288012,26.891836,2.191061,81.757614,78.063934,4.8522177,8.9,3.036,3,Arb-1,cots,25.46,210121720,55839212,154282508,8.902,8.45,8.103,10645039,17446241.0,27747932.0,,,,,,,,,,,,,,,,,,,,,,,
Ozzie Albies,16556,645277,2021,ATL,24,2b,batter,0.061688744,0.20616885,0.2627487,0.3453915,0.45271873,0.3279467,27.262066,35.883804,3.6104689,87.07747,100.28532,5.2033,3.8,3.062,7,Arb-1,cots,22.44,179161540,25000000,154161540,3.803,3.466,3.568,4748284,7455707.0,12796007.0,3.407,3.096,2.771,,,,2.332,,,,,,,,,,,,,,,,
Jake Cronenworth,18036,630105,2021,SD,27,lf-rhp,batter,0.099350885,0.16390575,0.27892753,0.3285639,0.46282306,0.36736086,13.741281,26.394241,4.364525,66.5729,70.869865,4.320789,5.48,1.0,5,Pre-Arb,cots,21.73,172383688,24459812,147923876,5.478,5.022,4.384,570500,700000.0,5247616.0,3.776,3.071,,7687497.0,10254200.0,,,,,,,,,,,,,,,,,,
Luis Robert Jr.,20043,673357,2021,,23,,batter,0.09166906,0.30407056,0.23397501,0.31671312,0.45978463,0.33287895,28.472097,24.814367,0.8815291,81.583855,79.770836,4.26884,4.48,1.0,5,Pre-Arb,estimated,21.06,166848794,27535617,139313177,4.477,4.406,4.326,570500,700000.0,5167684.0,4.117,3.734,,8453339.0,12644094.0,,,,,,,,,,,,,,,,,,
Lance McCullers Jr.,14120,621121,2021,HOU,27,rhp-s,pitcher,0.08399026,0.25371215,,,,,,,,,,,3.19,5.14,6,Arb-3,cots,18.36,144171047,9117394,135053653,3.185,3.167,3.277,9117394,,,3.215,2.965,2.553,,,,,,,,,,,,,,,,,,SP,3.4720712,3.6833305
Bo Bichette,19612,666182,2021,TOR,23,ss,batter,0.06743483,0.22468573,0.26459813,0.34327096,0.471793,0.3377337,31.530024,37.7363,1.772512,97.17741,98.3832,3.9707236,4.17,1.063,5,Pre-Arb,cots,20.39,160977094,27988673,132988421,4.17,4.023,4.148,570500,700000.0,4920036.0,4.132,3.919,,8490743.0,13307394.0,,,,,,,,,,,,,,,,,,
Luis Arraez,18568,650333,2021,MIN,24,2b,batter,0.084387206,0.090470254,0.28402415,0.3754213,0.42007667,0.3334476,7.4012427,33.30961,2.1693122,59.284832,85.56093,1.9264555,4.16,1.121,5,Pre-Arb,cots,20.29,159955038,26987281,132967757,4.162,4.263,4.13,570500,700000.0,4895407.0,3.999,3.736,,8170039.0,12651335.0,,,,,,,,,,,,,,,,,,
Kyle Tucker,18345,663656,2021,HOU,24,of,batter,0.08506867,0.20755577,0.26517218,0.3282365,0.44778663,0.33678997,22.825169,30.618263,5.155974,82.793045,85.60501,4.8618712,4.0,1.079,5,Pre-Arb,cots,20.03,157712612,27131174,130581438,4.005,4.098,4.184,570500,700000.0,4970221.0,3.967,3.775,,8100768.0,12789685.0,,,,,,,,,,,,,,,,,,
Scott Kingery,17975,664068,2021,PHI,27,2b,batter,0.081834495,0.27082226,0.22800033,0.27420858,0.3984427,0.30641198,13.580639,21.943062,3.0897036,50.52352,56.024307,5.6319904,3.99,3.0,6,Arb-1,cots,18.94,147555943,22118614,125437329,3.99,3.743,3.446,4348367,7041699.0,10728548.0,3.052,2.614,2.099,,,,,,,,,,,,,,,,,,,,
