Name,IDfg,mlbam_id,snapshot_year,Team,Age,Position,player_type,proj_BB%,proj_K%,proj_AVG,proj_OBP,proj_SLG,proj_wOBA,proj_HR,proj_2B,proj_3B,proj_RBI,proj_R,proj_HBP,proj_WAR,service_time,years_of_control,status,salary_source,total_future_WAR,total_future_WAR_value,total_future_salary,surplus,WAR_2022,WAR_2023,salary_2022,salary_2023,WAR_2024,WAR_2025,WAR_2026,salary_2024,salary_2025,salary_2026,WAR_2027,salary_2027,WAR_2028,WAR_2029,WAR_2030,WAR_2031,salary_2028,salary_2029,salary_2030,salary_2031,WAR_2032,WAR_2033,WAR_2034,salary_2032,proj_Role,proj_FIP,proj_ERA
Wander Franco,23667,677551,2022,TB,21,ss,batter,0.08904912,0.12113471,0.28141877,0.35385364,0.4410463,0.34710297,18.071688,35.458977,6.918992,80.387825,102.20904,4.505054,5.25,0.104,12,Pre-Arb,cots,64.76,633439280,182000000,451439280,5.252,5.426,2673271,2749650.0,5.747,5.929,6.014,2826029.0,30527219.0,53758573.0,6.015,89465258.0,5.858,5.647,5.365,5.013,,,,,4.549,3.944,,,,,
Lane Thomas,16939,657041,2022,WSH,26,cf,batter,0.1322699,0.23921522,0.24384193,0.33637324,0.4156178,0.33216333,16.740608,25.92793,3.0248737,62.50301,71.14521,2.889242,8.58,2.014,4,Pre-Arb,cots,32.66,284999708,57660765,227338944,8.582,8.328,700000,10717459.0,8.083,7.664,,17988766.0,28254540.0,,,,,,,,,,,,,,,,,,
Dylan Carlson,20126,666185,2022,STL,23,cf,batter,0.08965532,0.24334918,0.25141048,0.33531857,0.428067,0.32863948,20.033585,30.30147,3.0826216,70.46123,81.64571,8.342305,6.23,1.104,5,Pre-Arb,cots,31.38,273165730,46728923,226436807,6.226,6.403,700000,720000.0,6.402,6.296,6.057,8367675.0,14241131.0,22700118.0,,,,,,,,,,,,,,,,,
Daulton Varsho,19918,662139,2022,ARI,25,c,batter,0.09709125,0.22952467,0.24466774,0.32126215,0.42504415,0.3246901,17.563805,25.691008,2.9318633,64.58021,69.75192,2.7425044,6.34,1.128,5,Pre-Arb,cots,29.6,255220643,41625086,213595557,6.335,6.218,700000,720000.0,6.02,5.723,5.307,7816921.0,12806999.0,19581165.0,,,,,,,,,,,,,,,,,
Ketel Marte,13613,606466,2022,ARI,28,cf-2b,batter,0.07907829,0.16619271,0.27900827,0.35091165,0.4497336,0.34379923,22.192165,35.082558,3.3851087,83.258896,85.01309,5.5874705,4.88,5.162,7,Arb-3,cots,24.44,203163403,15222802,187940601,4.881,4.468,15222802,,4.2,3.623,3.106,,,,2.461,,1.705,,,,,,,,,,,,,,
Alejandro Kirk,22581,672386,2022,TOR,23,c,batter,0.10394509,0.117586225,0.26835033,0.32316816,0.46146718,0.35926196,19.615406,22.44656,2.8762553,76.85249,63.24894,6.286958,5.44,1.047,5,Pre-Arb,cots,26.15,222431358,37406485,185024873,5.444,5.385,700000,720000.0,5.285,5.136,4.9,6757691.0,11340136.0,17888658.0,,,,,,,,,,,,,,,,,
Ozzie Albies,16556,645277,2022,ATL,25,2b,batter,0.07923438,0.19549045,0.26151255,0.32701477,0.44966492,0.33492112,26.024544,34.044197,4.460711,90.0812,95.23325,5.896453,4.1,4.062,6,Arb-2,cots,23.9,199337626,21483131,177854495,4.095,4.308,7768531,13714600.0,4.251,4.02,3.817,,,,3.409,,,,,,,,,,,,,,,,
Yonny Hernandez,19432,660634,2022,ARI,24,ss,batter,0.10263443,0.18984763,0.2552672,0.3228364,0.3843835,0.31316686,6.510148,21.089252,2.9888747,45.572773,64.87855,8.527607,4.31,0.06,6,Pre-Arb,cots,23.49,195395373,26825423,168569950,4.308,4.154,700000,720000.0,4.283,3.85,3.667,740000.0,4896858.0,8059899.0,3.229,11708666.0,,,,,,,,,,,,,,,
Keibert Ruiz,19610,660688,2022,WSH,23,c,batter,0.070597626,0.09881718,0.26288995,0.3322978,0.42945468,0.3241019,17.548548,25.893236,1.7133548,74.53539,70.75336,6.2111974,3.77,0.064,6,Pre-Arb,cots,23.22,193617935,29687014,163930921,3.773,3.836,700000,720000.0,3.956,3.965,3.912,740000.0,5053406.0,8633629.0,3.777,13839980.0,,,,,,,,,,,,,,,
Alex Kirilloff,20325,666135,2022,MIN,24,of,batter,0.07053855,0.22303477,0.26782843,0.3048747,0.48527515,0.35483983,21.380478,23.904533,2.3176317,79.602806,66.8716,3.5260181,4.67,0.165,6,Pre-Arb,cots,22.38,184586368,22650118,161936249,4.673,4.442,700000,720000.0,3.986,3.596,3.093,740000.0,4555234.0,6717213.0,2.59,9217671.0,,,,,,,,,,,,,,,
Xander Bogaerts,12161,593428,2022,BOS,29,ss,batter,0.10333819,0.18790829,0.26638958,0.3555193,0.46065694,0.3482916,24.35626,32.53937,1.2848911,86.76301,90.94569,3.641859,4.9,8.042,5,Signed,cots,19.54,159166269,80,159166189,4.897,4.484,16,16.0,4.088,3.392,2.678,16.0,16.0,16.0,,,,,,,,,,,,,,,,,
Rafael Marchan,21646,665561,2022,PHI,23,c,batter,0.08159775,0.18773046,0.25674912,0.32345104,0.42861873,0.31880125,17.092216,25.781525,2.7978265,68.02752,71.97314,4.3907747,3.49,0.094,6,Pre-Arb,cots,21.94,182322568,27966593,154355975,3.487,3.655,700000,720000.0,3.783,3.791,3.708,740000.0,4818422.0,8155693.0,3.518,12832478.0,,,,,,,,,,,,,,,
Matt Vierling,21558,663837,2022,PHI,25,of,batter,0.06897208,0.2595387,0.24887429,0.3189812,0.41560936,0.3118808,15.171166,24.464968,2.2359796,59.418755,66.94162,4.9338193,4.41,0.043,6,Pre-Arb,cots,21.09,172836844,21193829,151643015,4.407,4.23,700000,720000.0,3.779,3.363,2.898,740000.0,4240657.0,6261616.0,2.413,8531556.0,,,,,,,,,,,,,,,
Nick Gordon,16337,624503,2022,MIN,26,ss,batter,0.06268952,0.25689,0.24697602,0.29829693,0.40839097,0.3094444,9.773129,19.884033,2.188334,48.872433,53.279243,5.210253,4.69,0.136,6,Pre-Arb,cots,20.67,168792891,19570642,149222248,4.689,4.238,700000,720000.0,3.69,3.177,2.688,740000.0,3988276.0,5770660.0,2.187,7651706.0,,,,,,,,,,,,,,,
Chris Taylor,13757,621035,2022,LAD,31,cf,batter,0.10387843,0.27478242,0.2364867,0.3344929,0.41887906,0.3229114,18.761883,27.690178,3.0119817,65.817825,76.25467,5.6645474,7.01,6.037,5,Signed,cots,24.77,206942370,60000000,146942370,7.008,5.829,12000000,12000000.0,4.824,3.948,3.159,12000000.0,12000000.0,12000000.0,,,,,,,,,,,,,,,,,
Brandon Lowe,18882,664040,2022,TB,27,2b-of,batter,0.10938083,0.26836947,0.24804442,0.34329933,0.48145807,0.35351828,34.022186,28.738667,1.6865137,97.35411,92.70971,10.134005,5.25,3.058,5,Arb-1,cots,20.85,171166638,29332224,141834414,5.251,4.526,6202712,9075411.0,4.254,3.714,3.102,14054101.0,,,,,,,,,,,,,,,,,,,
William Contreras,20503,661388,2022,ATL,24,c,batter,0.10147131,0.278661,0.24064891,0.31398532,0.43805662,0.32537958,23.597301,23.168789,2.203179,71.78366,68.652115,5.514745,3.61,0.112,6,Pre-Arb,cots,19.62,160482825,21904993,138577832,3.61,3.664,700000,720000.0,3.506,3.296,2.978,740000.0,4150182.0,6448696.0,2.571,9146114.0,,,,,,,,,,,,,,,
Connor Joe,16572,656582,2022,COL,29,1b,batter,0.11991518,0.19676547,0.25944754,0.33366677,0.4314254,0.34964386,18.382994,22.930576,2.045107,71.700615,60.919792,5.6160207,4.76,0.136,6,Pre-Arb,cots,18.94,153140511,14941133,138199378,4.756,4.274,700000,720000.0,3.579,2.826,2.097,740000.0,3514510.0,4387246.0,1.41,4879376.0,,,,,,,,,,,,,,,
Trent Grisham,18564,663757,2022,SD,25,cf,batter,0.10378492,0.22154722,0.24422875,0.33684862,0.39576402,0.32067686,20.246624,28.223763,3.9373438,72.6067,80.29497,7.310109,4.88,2.06,4,Pre-Arb,cots,20.15,167634563,35610428,132024135,4.88,5.084,700000,6217886.0,5.149,5.04,,10934125.0,17758417.0,,,,,,,,,,,,,,,,,,
Tyrone Taylor,13675,621438,2022,MIL,28,of,batter,0.07588437,0.2230068,0.24276397,0.32065707,0.40691844,0.313763,18.107723,21.880192,2.1139333,65.14471,63.229214,8.252657,4.61,1.093,5,Pre-Arb,cots,19.03,154552891,22830152,131722739,4.614,4.342,700000,720000.0,3.93,3.391,2.751,4813196.0,7129961.0,9466996.0,,,,,,,,,,,,,,,,,
Kyle Tucker,18345,663656,2022,HOU,25,of,batter,0.09097513,0.17840092,0.27597618,0.33407792,0.50930727,0.36290795,27.550503,32.885048,4.340892,96.62076,89.82859,3.70997,4.86,2.079,4,Pre-Arb,cots,19.98,165724879,34354126,131370753,4.861,5.51,700000,6809978.0,4.853,4.755,,10223687.0,16620461.0,,,,,,,,,,,,,,,,,,
Will Smith,19197,669257,2022,LAD,27,c,batter,0.11675127,0.19056684,0.2529689,0.3568797,0.48021737,0.35915878,28.64714,27.597301,0.6231308,92.70231,85.92873,11.448621,5.43,2.09,4,Pre-Arb,cots,19.6,161674499,31939191,129735308,5.433,5.036,700000,6151672.0,4.754,4.376,,9984995.0,15102524.0,,,,,,,,,,,,,,,,,,
Juan Soto,20123,665742,2022,WSH,23,lf,batter,0.18826006,0.15106612,0.29342484,0.4275515,0.583024,0.42528167,36.084877,29.311289,2.1382272,102.33555,112.57377,2.86543,7.3,3.134,3,Arb-1,cots,20.77,175131978,46201718,128930260,7.3,7.061,8934071,14934925.0,6.407,,,22332722.0,,,,,,,,,,,,,,,,,,,
Bo Bichette,19612,666182,2022,TOR,24,ss,batter,0.064871974,0.19135913,0.27581453,0.3381237,0.4988107,0.35150072,26.304379,34.679314,2.307625,92.47896,99.9963,4.4464836,4.81,2.063,4,Pre-Arb,cots,18.09,147790982,30131797,117659185,4.808,4.484,700000,5385851.0,4.582,4.218,,9573307.0,14472640.0,,,,,,,,,,,,,,,,,,
Luis Robert Jr.,20043,673357,2022,,24,,batter,0.07236086,0.24521767,0.26825157,0.3456586,0.50565606,0.36042103,28.437273,32.48907,1.2364035,90.571266,91.183586,7.1964974,5.06,2.0,4,Pre-Arb,estimated,17.7,143808387,27840964,115967423,5.057,4.623,700000,5579713.0,4.23,3.788,,8725581.0,12835670.0,,,,,,,,,,,,,,,,,,
Jonathan Arauz,20275,660620,2022,,23,,batter,0.10476991,0.22109978,0.25062922,0.31982353,0.41701767,0.31814858,15.780015,24.401934,2.7588418,63.485435,66.66449,3.5283797,4.2,2.0,4,Pre-Arb,estimated,17.84,145944904,31649324,114295580,4.196,4.418,700000,5295055.0,4.633,4.59,,9694530.0,15959739.0,,,,,,,,,,,,,,,,,,
Jarred Kelenic,22558,672284,2022,SEA,22,of,batter,0.096864335,0.25925544,0.24806425,0.3017337,0.46722215,0.34510386,25.879414,23.956306,2.617536,80.18951,71.85447,5.1211147,2.55,0.105,6,Pre-Arb,cots,16.63,135461706,21353414,114108292,2.554,2.581,700000,720000.0,3.064,2.912,2.921,740000.0,3631254.0,6315916.0,2.597,9246244.0,,,,,,,,,,,,,,,
Yordan Alvarez,19556,670541,2022,HOU,25,1b-of,batter,0.112897135,0.24126635,0.27333477,0.37226176,0.5435749,0.38514134,35.562458,29.885458,0.6458884,108.15127,96.41575,7.78035,5.03,2.113,4,Pre-Arb,cots,17.01,137518664,26000492,111518172,5.03,4.477,700000,5377005.0,4.062,3.445,,8322940.0,11600547.0,,,,,,,,,,,,,,,,,,
