Name,IDfg,mlbam_id,snapshot_year,Team,Age,Position,player_type,proj_BB%,proj_K%,proj_AVG,proj_OBP,proj_SLG,proj_wOBA,proj_HR,proj_2B,proj_3B,proj_RBI,proj_R,proj_HBP,proj_WAR,service_time,years_of_control,status,salary_source,total_future_WAR,total_future_WAR_value,total_future_salary,surplus,WAR_2023,salary_2023,WAR_2024,WAR_2025,WAR_2026,salary_2024,salary_2025,salary_2026,WAR_2027,WAR_2028,WAR_2029,WAR_2030,WAR_2031,salary_2027,salary_2028,salary_2029,salary_2030,salary_2031,WAR_2032,WAR_2033,WAR_2034,salary_2032,salary_2033,proj_Role,proj_FIP,proj_ERA
Corbin Carroll,25878,682998,2023,ARI,22,lf,batter,0.077506885,0.25385034,0.2449815,0.33078876,0.41888803,0.31873268,21.32704,29.668663,2.2965705,70.788956,77.30523,8.093795,7.46,0.038,9,Pre-Arb,cots,66.91,664374615,111000000,553374615,7.464,1232072,7.834,7.924,7.986,1266297.0,1300521.0,19715887.0,7.872,7.592,7.227,6.774,6.24,33649149.0,53836075.0,,,,,,,,,,,
Wander Franco,23667,677551,2023,TB,22,ss,batter,0.08727933,0.10920432,0.28715062,0.3504179,0.4309548,0.3438885,15.123693,36.174316,7.0440593,75.880196,99.042915,2.6708362,5.27,1.104,11,Pre-Arb,cots,58.0,576510394,165454545,411055849,5.272,2639454,5.359,5.676,5.791,2712772.0,27909908.0,49475151.0,5.815,5.726,5.541,5.302,4.985,82717258.0,,,,,4.552,3.977,,,,,,
Michael Harris II,25931,671739,2023,ATL,22,cf,batter,0.058819115,0.23252058,0.26438302,0.33970168,0.46423647,0.3383664,25.08042,34.235146,2.5654428,83.885735,96.34704,6.219953,5.0,0.131,10,Pre-Arb,cots,41.71,389785938,72000000,317785938,5.002,1400659,5.01,4.954,4.891,1439567.0,1478474.0,13021166.0,4.7,4.381,3.986,3.514,2.965,21566899.0,33093235.0,,,,2.312,,,,,,,
Jack Suwinski,22244,669261,2023,PIT,24,cf,batter,0.101106055,0.28801468,0.22366647,0.31244457,0.42380834,0.3211129,25.790838,22.390713,0.79348457,71.31481,70.087746,5.7213135,6.79,0.118,6,Pre-Arb,cots,39.35,364021935,50747345,313274591,6.786,720000,6.855,6.874,6.668,740000.0,760000.0,9466514.0,6.316,5.846,,,,15457290.0,23603541.0,,,,,,,,,,,
Nate Eaton,25055,681987,2023,KC,26,of,batter,0.08379765,0.24672504,0.23945531,0.3196801,0.39351982,0.3064351,9.935343,21.791182,3.149671,49.49544,63.5164,5.2912397,6.46,0.058,6,Pre-Arb,cots,32.64,293567331,36771748,256795583,6.465,720000,6.226,5.77,5.271,740000.0,760000.0,7286990.0,4.745,4.169,,,,11207343.0,16057415.0,,,,,,,,,,,
Oswaldo Cabrera,21707,665828,2023,NYY,24,2b-3b,batter,0.087505,0.25185502,0.24015525,0.32404053,0.4139161,0.3090414,21.515594,28.351154,1.9251641,72.73738,74.85244,3.6057036,5.33,0.05,6,Pre-Arb,cots,31.96,288979555,40948385,248031170,5.327,720000,5.591,5.614,5.481,740000.0,760000.0,7614535.0,5.182,4.761,,,,12390460.0,18723390.0,,,,,,,,,,,
Chris Taylor,13757,621035,2023,LAD,32,cf,batter,0.09977816,0.30596974,0.20732312,0.31702662,0.3560748,0.28714073,15.7873745,21.93706,2.5241828,51.974144,63.522106,5.284203,9.45,7.037,4,Signed,cots,31.92,288143032,45000000,243143032,9.455,11250000,8.011,7.62,6.833,11250000.0,11250000.0,11250000.0,,,,,,,,,,,,,,,,,,
Gunnar Henderson,26289,683002,2023,BAL,22,3b,batter,0.11913845,0.24337426,0.25384328,0.33471957,0.45195773,0.34568143,22.249126,26.965315,2.5958524,75.63736,73.35475,3.6891212,4.76,0.036,6,Pre-Arb,cots,30.12,271298421,41032847,230265574,4.762,720000,4.984,5.129,5.21,740000.0,760000.0,7191633.0,5.132,4.904,,,,12254984.0,19366230.0,,,,,,,,,,,
Oswald Peraza,22823,672724,2023,NYY,23,ss,batter,0.09434872,0.16704053,0.2589545,0.33354062,0.42342442,0.33297196,16.526493,25.894806,2.348753,67.05452,71.99735,7.253108,4.49,0.035,6,Pre-Arb,cots,27.58,245039214,36663762,208375452,4.495,720000,4.587,4.745,4.727,740000.0,760000.0,6438547.0,4.621,4.408,,,,10873111.0,17132103.0,,,,,,,,,,,
Keibert Ruiz,19610,660688,2023,WSH,24,c,batter,0.07216282,0.1185391,0.26602125,0.30953246,0.39885202,0.321113,12.207542,23.971514,1.6888912,62.701935,52.416634,7.187788,3.6,1.064,10,Pre-Arb,cots,28.81,258166247,50000000,208166247,3.598,1409695,3.706,3.658,3.463,1448853.0,9081808.0,14847742.0,3.267,2.989,2.653,2.249,1.823,23211902.0,,,,,1.405,,,,,,,
Yordan Alvarez,19556,670541,2023,HOU,26,lf-dh,batter,0.13524936,0.21127495,0.2770753,0.36159804,0.5541016,0.39940718,32.417103,28.219656,2.190561,101.44259,94.63991,7.916572,7.06,3.113,6,Arb-1,cots,35.46,321363934,115000000,206363934,7.063,21891846,7.269,6.123,5.715,39153317.0,53954836.0,,4.978,4.309,,,,,,,,,,,,,,,,
Adley Rutschman,26288,668939,2023,BAL,25,c,batter,0.12811819,0.18614893,0.25012368,0.3562938,0.4362784,0.34886473,21.850824,33.43451,2.7235448,72.402504,92.35238,5.972075,5.28,1.0,5,Pre-Arb,cots,26.37,233907551,40316071,193591480,5.28,720000,5.292,5.436,5.256,740000.0,7253800.0,12106507.0,5.106,,,,,19495765.0,,,,,,,,,,,,
Rafael Devers,17350,646240,2023,BOS,26,3b,batter,0.08692314,0.1986705,0.27584794,0.35634738,0.5068749,0.36416453,32.446888,34.092003,0.99218553,104.281975,95.98169,6.611758,4.46,5.07,11,Arb-3,cots,23.49,202444103,14262451,188181652,4.457,14262451,4.157,3.756,3.402,,,,2.92,2.347,1.626,0.824,0.0,,,,,,0.0,0.0,,,,,,
Jarred Kelenic,22558,672284,2023,SEA,23,lf,batter,0.09500352,0.27674603,0.2401136,0.28634027,0.44383642,0.3344366,23.23484,21.439907,3.2833533,72.65673,64.7494,5.569872,3.62,0.169,6,Pre-Arb,cots,22.21,191801161,28058091,163743070,3.617,720000,3.67,4.134,3.831,740000.0,760000.0,5066988.0,3.691,3.267,,,,8442403.0,12328700.0,,,,,,,,,,,
Terrin Vavra,24400,679631,2023,BAL,26,2b,batter,0.10980892,0.18703748,0.25504827,0.3238442,0.40599087,0.3236224,11.065878,21.679144,3.1674972,55.84101,62.331562,3.5453804,4.5,0.072,6,Pre-Arb,cots,21.8,186496167,23315455,163180712,4.501,720000,4.172,3.962,3.499,740000.0,760000.0,4600725.0,3.106,2.562,,,,7017991.0,9476739.0,,,,,,,,,,,
Tyler Freeman,22532,671289,2023,CLE,24,ss,batter,0.062203523,0.13142851,0.25421354,0.3280052,0.39753917,0.3094988,10.248462,24.71462,1.5751483,57.160423,68.641045,9.772874,3.65,0.064,6,Pre-Arb,cots,21.37,183684265,26732128,156952137,3.647,720000,3.699,3.789,3.635,740000.0,760000.0,4792125.0,3.441,3.158,,,,7832799.0,11887204.0,,,,,,,,,,,
Daulton Varsho,19918,662139,2023,TOR,26,lf,batter,0.08739282,0.23418558,0.23669153,0.32774934,0.40760207,0.31736964,23.317583,27.029991,2.6762698,72.304565,76.82291,5.4416256,5.74,2.128,4,Pre-Arb,cots,22.35,195566831,40235097,155331734,5.745,720000,5.668,5.602,5.336,7309578.0,12504246.0,19701273.0,,,,,,,,,,,,,,,,,,
Gabriel Moreno,22664,672515,2023,ARI,23,c,batter,0.0695943,0.116750635,0.25992537,0.3298592,0.41557688,0.31821722,13.158517,24.135035,1.9865178,64.63855,68.34723,3.6997368,3.46,0.061,6,Pre-Arb,cots,20.97,180458675,27409486,153049189,3.456,720000,3.513,3.612,3.584,740000.0,760000.0,4719873.0,3.491,3.313,,,,7954658.0,12514955.0,,,,,,,,,,,
Vaughn Grissom,26031,687093,2023,ATL,22,ss-3b,batter,0.073596396,0.20808126,0.25632533,0.333481,0.43253195,0.33216172,19.4613,26.781816,1.7111516,71.65221,78.877396,7.46722,3.04,0.057,6,Pre-Arb,cots,19.38,166066603,25598079,140468524,3.036,720000,3.232,3.375,3.392,740000.0,760000.0,4449878.0,3.302,3.046,,,,7493784.0,11434417.0,,,,,,,,,,,
Julio Rodriguez,23697,677594,2023,,22,,batter,0.076709196,0.24541257,0.2555195,0.34819716,0.46996108,0.34180078,30.904219,31.553741,1.9307853,90.5575,99.19849,8.024375,3.94,1.0,5,Pre-Arb,estimated,19.37,164385772,28489140,135896632,3.941,720000,3.964,3.893,3.881,740000.0,4955344.0,8560965.0,3.693,,,,,13512831.0,,,,,,,,,,,,
Byron Buxton,14161,621439,2023,MIN,29,dh-cf,batter,0.088874035,0.27885154,0.24457887,0.3055221,0.43798384,0.32952675,30.681606,27.20223,4.0209866,87.585815,84.61227,9.218788,5.45,6.16,6,Signed,cots,25.26,219547685,85714285,133833400,5.445,14285714,5.382,4.745,4.027,14285714.0,14285714.0,14285714.0,3.241,2.424,,,,14285714.0,14285714.0,,,,,,,,,,,
Nick Fortes,21538,663743,2023,MIA,26,c,batter,0.07783765,0.18930496,0.25347856,0.31550676,0.40914604,0.32292762,16.151615,22.610193,3.3664348,62.534252,72.95447,7.348604,3.57,0.149,6,Pre-Arb,cots,18.14,152942259,20163393,132778866,3.567,720000,3.39,3.287,3.013,740000.0,760000.0,3917783.0,2.67,2.215,,,,5956246.0,8069363.0,,,,,,,,,,,
