Name,IDfg,mlbam_id,snapshot_year,Team,Age,Position,player_type,proj_BB%,proj_K%,proj_AVG,proj_OBP,proj_SLG,proj_wOBA,proj_HR,proj_2B,proj_3B,proj_RBI,proj_R,proj_HBP,proj_WAR,service_time,years_of_control,status,salary_source,total_future_WAR,total_future_WAR_value,total_future_salary,surplus,WAR_2025,WAR_2026,WAR_2027,WAR_2028,WAR_2029,WAR_2030,WAR_2031,salary_2025,salary_2026,salary_2027,salary_2028,salary_2029,salary_2030,salary_2031,WAR_2032,WAR_2033,WAR_2034,WAR_2035,WAR_2036,WAR_2037,WAR_2038,WAR_2039,salary_2032,salary_2033,salary_2034,salary_2035,salary_2036,salary_2037,salary_2038,salary_2039,proj_Role,proj_FIP,proj_ERA
Jackson Chourio,28806,694192,2025,MIL,21,of,batter,0.076930344,0.20037208,0.27522293,0.3340925,0.4605042,0.34136292,23.898403,31.796684,3.6461556,87.30719,88.393654,3.1853821,5.01,1.0,9,Pre-Arb,cots,47.55,494296704,71750000,422546704,5.009,5.289,5.446,5.634,5.642,5.571,5.333,1157966,1097021.0,11978284.0,21570549.0,35946180.0,,,5.017,4.614,,,,,,,,,,,,,,,,,
Corbin Carroll,25878,682998,2025,ARI,24,lf,batter,0.10452346,0.19407569,0.26377684,0.3436257,0.4397519,0.3503398,21.671005,32.117188,9.071537,73.904884,106.07002,11.190627,6.2,2.038,7,Pre-Arb,cots,39.05,390749094,83250000,307499094,6.203,5.691,5.927,5.676,5.48,5.209,4.859,1377047,14390676.0,26099661.0,41382618.0,,,,,,,,,,,,,,,,,,,,,,
Wyatt Langford,33333,694671,2025,TEX,23,of,batter,0.09790499,0.20004115,0.26334283,0.33749843,0.45832813,0.3463561,21.227169,29.884916,3.7648406,81.51582,86.32024,4.108287,6.91,1.0,5,Pre-Arb,cots,35.28,349738513,60408620,289329893,6.906,7.057,7.188,7.159,6.967,,,760000,720000.0,10688603.0,18445419.0,29794597.0,,,,,,,,,,,,,,,,,,,,,
Michael Harris II,25931,671739,2025,ATL,24,cf,batter,0.060552143,0.19656062,0.2740644,0.30593133,0.4623407,0.3423057,20.342785,29.172081,4.3787465,76.17611,79.82665,5.053098,4.95,3.0,8,Arb-1,cots,33.06,322059064,54000000,268059064,4.955,4.966,4.76,4.549,4.169,3.762,3.246,9830598,17084979.0,27084424.0,,,,,2.649,,,,,,,,,,,,,,,,,,
Jackson Merrill,29490,701538,2025,SD,22,cf-ss,batter,0.06317242,0.1675601,0.29404366,0.32758862,0.52563965,0.36904958,24.73386,28.837515,3.9070148,94.95083,83.29866,1.9523864,6.45,1.0,5,Pre-Arb,cots,31.31,306077335,51267470,254809865,6.454,6.503,6.182,6.278,5.892,,,760000,720000.0,9055636.0,15968058.0,24763776.0,,,,,,,,,,,,,,,,,,,,,
Kyren Paris,26420,677347,2025,LAA,23,ss,batter,0.10095416,0.26716942,0.2410919,0.31208763,0.42383763,0.31592995,17.663916,24.484663,2.390216,62.550823,66.259796,4.862773,4.74,0.061,6,Pre-Arb,cots,28.86,278793532,40460152,238333380,4.741,4.915,5.036,4.941,4.784,4.442,,760000,720000.0,720000.0,7324541.0,12236499.0,18699112.0,,,,,,,,,,,,,,,,,,,,
Bobby Witt Jr.,25764,677951,2025,KC,25,ss,batter,0.076855406,0.16797087,0.28756022,0.35269535,0.5097348,0.36807382,26.971119,34.544987,6.281382,91.561,101.714386,5.842916,6.18,3.0,10,Arb-1,cots,47.22,480807601,262454545,218353056,6.185,6.528,6.047,5.662,5.352,4.815,4.28,46429221,85420006.0,130605317.0,,,,,3.58,2.805,1.971,,,,,,,,,,,,,,,,
Pete Crow-Armstrong,27769,691718,2025,CHC,23,of,batter,0.058705814,0.2303691,0.23815158,0.30688313,0.39636642,0.30043954,13.807011,21.270033,3.5797834,56.504894,64.8802,5.594053,3.98,0.17,6,Pre-Arb,cots,25.31,239907600,34946094,204961506,3.981,4.365,4.514,4.439,4.189,3.824,,760000,720000.0,720000.0,6477478.0,10495127.0,15773489.0,,,,,,,,,,,,,,,,,,,,
Andy Pages,24816,,2025,LAD,24,of,batter,0.07188488,0.23577105,0.25144315,0.31065297,0.4302456,0.32599607,17.096392,27.48266,2.5402932,64.74745,77.04325,6.8624687,4.54,0.155,6,Pre-Arb,cots,24.68,232294923,31217394,201077529,4.541,4.442,4.432,4.138,3.784,3.344,,760000,720000.0,720000.0,5970065.0,9374945.0,13672383.0,,,,,,,,,,,,,,,,,,,,
Chris Taylor,13757,621035,2025,LAD,34,lf-rf,batter,0.097459435,0.30938008,0.20062427,0.27407917,0.3602399,0.28623456,11.221256,16.757326,1.514473,42.48569,47.39292,4.3184934,11.27,9.037,2,Signed,cots,21.83,210284133,15000000,195284133,11.274,10.556,,,,,,7500000,7500000.0,,,,,,,,,,,,,,,,,,,,,,,,
