IDfg,Name,Team,contract_value,war_market_value,surplus_value
26289,Gunnar Henderson,bal,"$800,000",118.37,117.57
25764,Bobby Witt Jr.,kc,"$7,707,070",108.22,100.52
19709,Fernando Tatis Jr.,sd,"$20,714,285",119.0,98.29
15640,Aaron Judge,nyy,"$40,000,000",119.0,79.0
21318,Tylor Megill,nym,"$2,300,000",77.35,75.05
24586,Kyle Bradish,bal,"$3,220,000",74.8,71.58
33677,Paul Skenes,pit,"$800,000",72.25,71.45
18345,Kyle Tucker,chc,"$16,700,000",86.29,69.59
20123,Juan Soto,nym,"$51,875,000",119.0,67.12
17350,Rafael Devers,bos,"$29,318,181",95.87,66.55
21846,Cole Ragans,kc,"$800,000",67.15,66.35
26221,Ryan Pepiot,tb,"$800,000",67.15,66.35
27463,Garrett Crochet,bos,"$2,900,000",67.15,64.25
22201,MacKenzie Gore,wsh,"$3,100,000",67.15,64.05
25880,Hunter Brown,hou,"$800,000",64.6,63.8
22264,Shane Baz,tb,"$1,600,000",64.6,63.0
21052,Luis Gil,nyy,"$800,000",62.05,61.25
27474,Max Meyer,mia,"$800,000",62.05,61.25
22543,Taj Bradley,tb,"$800,000",62.05,61.25
33825,Yoshinobu Yamamoto,lad,"$14,166,666",74.8,60.63
19556,Yordan Alvarez,hou,"$15,833,333",70.07,54.23
18679,Freddy Peralta,mil,"$8,000,000",62.05,54.05
23697,Julio Rodriguez,sea,"$19,912,500",73.47,53.55
10310,Zack Wheeler,phi,"$42,000,000",95.2,53.2
22182,Hunter Greene,cin,"$6,333,333",59.5,53.17
22581,Alejandro Kirk,tor,"$4,400,000",57.24,52.84
23920,Brayan Bello,bos,"$2,666,666",55.25,52.58
31843,Kumar Rocker,tex,"$800,000",53.12,52.32
13624,Corey Seager,tex,"$32,500,000",84.65,52.15
18525,Dylan Cease,sd,"$13,000,000",64.6,51.6
31846,Spencer Schwellenbach,atl,"$800,000",51.0,50.2
23796,Ryan Weathers,mia,"$800,000",51.0,50.2
31827,Zebby Matthews,min,"$800,000",51.0,50.2
29869,Michael McGreevy,stl,"$800,000",51.0,50.2
27782,Brandon Pfaadt,ari,"$800,000",51.0,50.2
19853,Michael King,sd,"$10,700,000",59.5,48.8
21534,Cal Raleigh,sea,"$4,850,000",53.24,48.39
17295,Framber Valdez,hou,"$18,800,000",67.15,48.35
23499,Keaton Winn,sf,"$800,000",48.88,48.08
20503,William Contreras,mil,"$3,500,000",50.68,47.18
22250,Logan Gilbert,sea,"$8,300,000",55.25,46.95
18360,Austin Riley,atl,"$22,000,000",68.0,46.0
19407,Ronel Blanco,hou,"$800,000",46.75,45.95
21454,Lars Nootbaar,stl,"$2,850,000",46.75,43.9
27863,Jared Jones,pit,"$800,000",44.62,43.82
14374,Tyler Glasnow,lad,"$32,500,000",74.8,42.3
21690,Edward Cabrera,mia,"$2,500,000",44.62,42.12
20633,Yusei Kikuchi,laa,"$21,225,000",62.05,40.82
25976,Riley Greene,det,"$800,000",41.43,40.63
13613,Ketel Marte,ari,"$16,600,000",56.76,40.16
25878,Corbin Carroll,ari,"$5,625,000",45.42,39.8
26288,Adley Rutschman,bal,"$5,010,000",44.7,39.69
24492,Grayson Rodriguez,bal,"$800,000",40.38,39.58
26121,Francisco Alvarez,nym,"$800,000",38.44,37.64
30279,Bryan Woo,sea,"$800,000",38.25,37.45
19899,Clarke Schmidt,nyy,"$5,100,000",42.5,37.4
19197,Will Smith,lad,"$11,000,000",48.36,37.36
20437,Royce Lewis,min,"$1,925,000",39.19,37.27
12916,Francisco Lindor,nym,"$33,800,000",70.65,36.85
14309,Frankie Montas,nym,"$17,000,000",53.12,36.12
22715,Maikel Garcia,kc,"$800,000",36.65,35.85
23335,Joey Cantillo,cle,"$800,000",36.55,35.75
29837,Bryce Miller,sea,"$800,000",36.55,35.75
16137,Carlos Rodon,nyy,"$27,000,000",59.5,32.5
30182,Will Warren,nyy,"$800,000",33.15,32.35
22664,Gabriel Moreno,ari,"$800,000",32.42,31.62
22267,Tarik Skubal,det,"$11,200,000",42.5,31.3
25436,George Kirby,sea,"$4,500,000",34.85,30.35
25931,Michael Harris II,atl,"$8,000,000",37.59,29.59
26378,Nick Lodolo,cin,"$1,950,000",31.45,29.5
21390,Joe Ryan,min,"$3,650,000",33.15,29.5
20302,David Peterson,nym,"$5,500,000",34.85,29.35
33168,Jake Bloss,tor,"$800,000",29.75,28.95
18314,Dansby Swanson,chc,"$25,285,714",53.97,28.68
11486,Robbie Ray,sf,"$25,000,000",53.12,28.12
21711,Oneil Cruz,pit,"$800,000",28.58,27.78
19755,Shohei Ohtani,lad,"$46,081,476",73.61,27.53
20629,Tyler Phillips,phi,"$800,000",28.05,27.25
22100,Jose Soriano,laa,"$800,000",28.05,27.25
23055,Dedniel Nunez,nym,"$800,000",28.05,27.25
27468,Reid Detmers,laa,"$2,580,000",29.75,27.17
27676,Vinnie Pasquantino,kc,"$800,000",27.53,26.73
23003,Yainer Diaz,hou,"$800,000",27.52,26.72
21032,Emmanuel Clase,cle,"$4,900,000",31.45,26.55
14968,Victor Caratini,hou,"$6,000,000",32.24,26.24
20492,Casey Mize,det,"$2,000,000",28.05,26.05
20531,Kutter Crawford,bos,"$3,850,000",29.75,25.9
21618,Alec Bohm,phi,"$8,100,000",33.67,25.57
31508,Caden Dana,laa,"$800,000",26.35,25.55
27483,Bobby Miller,lad,"$800,000",26.35,25.55
21029,Jhoan Duran,min,"$1,770,000",26.35,24.58
18373,Ryan Mountcastle,bal,"$6,000,000",30.54,24.54
19879,Tanner Houck,bos,"$3,750,000",28.05,24.3
19452,Jake Rogers,det,"$2,230,000",26.4,24.17
30134,Tanner Bibee,cle,"$800,000",24.65,23.85
21446,Ryan Feltner,col,"$2,550,000",26.35,23.8
14344,Matt Olson,atl,"$22,000,000",45.61,23.61
22286,Trevor Rogers,bal,"$2,750,000",26.35,23.6
20253,Griffin Jax,min,"$2,810,000",26.35,23.54
24617,Jarren Duran,bos,"$4,110,000",27.48,23.37
18577,Ke'Bryan Hayes,pit,"$7,000,000",29.31,22.31
20369,Matt Manning,det,"$800,000",22.95,22.15
27758,Kyle Harrison,sf,"$800,000",22.95,22.15
27792,Gavin Stone,lad,"$800,000",22.95,22.15
22092,Kyle Tyler,phi,"$800,000",22.95,22.15
16505,Matt Chapman,sf,"$25,166,667",47.18,22.01
19611,Vladimir Guerrero Jr.,tor,"$28,800,000",50.54,21.74
24679,Brendan Donovan,stl,"$4,000,000",25.69,21.69
21865,Bo Naylor,cle,"$800,000",21.51,20.71
19955,Gavin Lux,lad,"$2,760,000",23.31,20.55
29770,Mason Montgomery,tb,"$800,000",21.25,20.45
27688,Jack Kochanowicz,laa,"$800,000",21.25,20.45
21448,Davis Martin,chw,"$800,000",21.25,20.45
15890,Luis Severino,ath,"$20,000,000",40.38,20.38
17312,Justin Steele,chc,"$7,950,000",28.05,20.1
16578,Yandy Diaz,tb,"$10,000,000",29.92,19.92
