Player Name,Team,Status,WAR,Base_Value,Contract_Value,Surplus_Value
Corbin Carroll,ari,ARB 3,4.949360289524666,47916788.46,14625000.0,33291788.46
Gabriel Moreno,ari,ARB 3,4.252448724755992,38235641.46,19117820.73,19117820.73
Ketel Marte,ari,Club,2.442747147658104,18504316.5,13000000.0,5504316.5
Jake McCarthy,ari,ARB3,1.7414692021411948,12095809.71,6047904.86,6047904.86
Alek Thomas,ari,ARB3,1.5887003694341648,11034715.59,5517357.8,5517357.8
Justin Martinez,ari,ARB2,1.3,9029475.0,2979726.75,6049748.25
Brandon Pfaadt,ari,ARB2,1.0,6945750.0,2894062.5,4051687.5
Bryce Jarvis,ari,ARB2,0.4,2778300.0,2894062.5,-115762.5
Seth Martinez,ari,ARB3,0.2,1389150.0,4630500.0,-3241350.0
Ryne Nelson,ari,ARB3,0.2,1389150.0,4630500.0,-3241350.0
Jose Herrera,ari,ARB3,-0.1027153592579975,0.0,4630500.0,-4630500.0
Tommy Henry,ari,ARB2,-0.2,0.0,2894062.5,-2894062.5
Eduardo Rodriguez,ari,Vesting,-0.6,0.0,17000000.0,-17000000.0
J.J. Bleday,ath,ARB3,1.6091443354380002,11176714.27,5588357.13,5588357.13
Shea Langeliers,ath,ARB3,0.532469468259525,3698399.81,4630500.0,-932100.19
Anthony Maldonado,ath,ARB1,0.4,2778300.0,1157625.0,1620675.0
Michel Otanez,ath,ARB1,0.3,2083725.0,1157625.0,926100.0
Mason Miller,ath,ARB3,0.3,2083725.0,4630500.0,-2546775.0
Ronald Acuña Jr.,atl,Club,5.439535178441769,54726052.93,17000000.0,37726052.93
Spencer Schwellenbach,atl,ARB1,3.7,31603162.5,7900790.63,23702371.88
Michael Harris II,atl,,2.737229048012072,21572412.99,10000000.0,11572412.99
Austin Riley,atl,,2.2962575654598645,16978096.48,22000000.0,-5021903.52
Nick Allen,atl,ARB3,1.5921271820688796,11058517.37,5529258.69,5529258.69
Sean Murphy,atl,,0.9976695357881428,6929563.18,15000000.0,-8070436.82
Dylan Lee,atl,ARB 4,0.6,4167450.0,4630500.0,-463050.0
Jarred Kelenic,atl,ARB 4,0.5179763499946591,3597734.23,4630500.0,-1032765.77
Daysbel Hernández,atl,ARB1,0.4,2778300.0,1157625.0,1620675.0
Bryce Elder,atl,ARB2,0.1,694575.0,2894062.5,-2199487.5
Matt Olson,atl,,0.0966535913475175,671331.68,22000000.0,-21328668.32
Luke Williams,atl,ARB3,-0.8867308994156117,0.0,4630500.0,-4630500.0
Eli White,atl,ARB3,-2.886195949549386,0.0,4630500.0,-4630500.0
Chadwick Tromp,atl,ARB3,-5.017194566712162,0.0,4630500.0,-4630500.0
Gunnar Henderson,bal,ARB3,5.613352434787748,57140635.35,28570317.67,28570317.67
Grayson Rodriguez,bal,ARB1,4.2,37507050.0,9376762.5,28130287.5
Kyle Bradish,bal,ARB 4,2.9,23268262.5,11634131.25,11634131.25
Colin Selby,bal,ARB1,0.9,6251175.0,1562793.75,4688381.25
Yennier Cano,bal,ARB3,0.8,5556600.0,4630500.0,926100.0
Bryan Baker,bal,ARB3,0.3,2083725.0,4630500.0,-2546775.0
Cade Povich,bal,ARB1,0.3,2083725.0,1157625.0,926100.0
Albert Suarez,bal,ARB3,-0.3,0.0,4630500.0,-4630500.0
Daz Cameron,bal,ARB3,-0.346467546911448,0.0,4630500.0,-4630500.0
René Pinto,bal,ARB2,-1.3848643933056437,0.0,2894062.5,-2894062.5
Rafael Devers,bos,,3.939121507458788,34094479.82,32818181.0,1276298.82
Triston Casas,bos,ARB3,3.4746681632222374,29255514.59,14627757.3,14627757.3
Brayan Bello,bos,ARB 3,1.9,13196925.0,16166666.0,-2969741.0
Vaughn Grissom,bos,ARB2,1.5476521086386965,10749604.63,3547369.53,7202235.1
Jarren Duran,bos,ARB 4,1.3305454359051638,9241635.96,4630500.0,4611135.96
Luis Guerrero,bos,ARB1,1.1,7640325.0,1910081.25,5730243.75
Justin Slaten,bos,ARB2,0.8,5556600.0,2894062.5,2662537.5
Kutter Crawford,bos,ARB 4,0.6,4167450.0,4630500.0,-463050.0
Josh Winckowski,bos,ARB3,0.6,4167450.0,4630500.0,-463050.0
Chase Shugart,bos,ARB1,0.4,2778300.0,1157625.0,1620675.0
Brennan Bernardino,bos,ARB3,0.3,2083725.0,4630500.0,-2546775.0
Garrett Whitlock,bos,Club,0.3,2083725.0,10500000.0,-8416275.0
Zack Kelly,bos,ARB3,0.3,2083725.0,4630500.0,-2546775.0
