Player Name,Team,Status,WAR,Base_Value,Contract_Value,Surplus_Value,IDfg,Age_bat,BB%_bat,K%_bat,AVG,OBP,SLG,wOBA,wRC+,EV,Off,BsR,Def,Age_pit,FIP,SIERA,K%_pit,BB%_pit,GB%,FB%,Stuff+,Location+,Pitching+,FBv
Corbin Carroll,ari,,4.795427152979077,48067347.61,28625000.0,19442347.61,25878.0,28.0,0.09496041,0.13771935,0.29209942,0.36383182,0.5018291,0.3674718,139.37479,92.00972,29.948977982125637,-0.0948367435194086,-1.760173263028264,,,,,,,,,,,
Justin Martinez,ari,ARB3,1.2,8751645.0,4862025.0,3889620.0,24453.0,,,,,,,,,,,,,27.0,3.6775923,3.5540028,0.28679848,0.112635285,0.4820457,0.31115067,115.22911,97.13249,102.22107,96.837654
Bryce Jarvis,ari,ARB3,0.4,2917215.0,4862025.0,-1944810.0,27477.0,,,,,,,,,,,,,31.0,4.4453006,3.956839,0.21997972,0.0758037,0.38393667,0.3984329,105.20687,101.856,102.53134,94.506546
Brandon Pfaadt,ari,ARB3,0.4,2917215.0,4862025.0,-1944810.0,27782.0,,,,,,,,,,,,,30.0,4.765209,4.6631885,0.18711747,0.07258305,0.39390773,0.40685067,86.6249,100.75129,96.80391,91.89103
Tommy Henry,ari,ARB3,-0.3,0.0,4862025.0,-4862025.0,26285.0,,,,,,,,,,,,,31.0,5.1131506,5.183852,0.16910292,0.07818946,0.36229944,0.43182778,83.61965,101.53749,96.24951,89.76268
Anthony Maldonado,ath,ARB2,0.3,2187911.25,3038765.63,-850854.38,26034.0,,,,,,,,,,,,,31.0,4.5391946,4.177253,0.21078028,0.09437614,0.45327178,0.33926278,100.625404,98.07961,99.324356,92.672806
Michel Otanez,ath,ARB2,0.2,1458607.5,3038765.63,-1580158.13,22533.0,,,,,,,,,,,,,31.0,4.6893806,4.165798,0.26773757,0.1249516,0.3763554,0.4277279,112.93209,95.60847,100.25775,95.028656
Spencer Schwellenbach,atl,ARB2,3.5,30995409.38,10228485.09,20766924.28,31846.0,,,,,,,,,,,,,29.0,3.6101096,3.6509318,0.24886225,0.062159028,0.42625123,0.37163362,101.877174,103.439804,103.43266,96.00164
Michael Harris II,atl,,2.369611124790687,18629456.69,10000000.0,8629456.69,25931.0,28.0,0.053687282,0.17276193,0.27242392,0.31793588,0.44817308,0.32906002,110.46495,90.55339,10.274643397912747,-2.254748407867737,-3.698924090713263,,,,,,,,,,,
Austin Riley,atl,,1.6810620882455765,12260048.85,22000000.0,-9739951.15,18360.0,32.0,0.08685798,0.23215581,0.25913954,0.3302564,0.45985723,0.33838406,119.49331,92.91114,15.05037324603011,-4.107627133489586,-13.36955577135086,,,,,,,,,,,
Daysbel Hernández,atl,ARB2,0.3,2187911.25,3038765.63,-850854.38,20271.0,,,,,,,,,,,,,32.0,4.5390773,4.1157665,0.22613806,0.10236549,0.45215708,0.3436214,106.99424,97.61232,100.226364,94.11019
