Player Name,Team,Status,Position,Age,WAR,Base_Value,Contract_Value,Surplus_Value,IDfg,BB%_bat,K%_bat,AVG,OBP,SLG,wOBA,wRC+,EV,Off,BsR,Def,FIP,SIERA,K%_pit,BB%_pit,GB%,FB%,Stuff+,Location+,Pitching+,FBv
Corbin Carroll,ari,FA,OF,33.0,3.974232034459362,48062518.97,,,25878.0,0.090389974,0.14473942,0.2919576,0.36214474,0.4962234,0.36705345,138.5471,92.54568,29.734693469070805,-3.239778950228356,-6.44865870475769,,,,,,,,,,
Geraldo Perdomo,ari,FA,SS,34.0,2.596694848048667,30416534.43,,,22799.0,0.061516985,0.18337981,0.25682142,0.3102798,0.39321792,0.307083,94.54562,88.74015,-0.9818725818540976,-3.3317302039358765,10.859994173049929,,,,,,,,,,
Alek Thomas,ari,FA,CF,34.0,1.017146018556942,11581727.55,,,23792.0,0.055562668,0.21172605,0.24479952,0.29590824,0.37890786,0.29568028,86.31418,88.84102,-6.822293304815524,-3.903322628466413,1.7924287915229795,,,,,,,,,,
Kevin Ginkel,ari,FA,RP,40.0,0.8,9109195.6,,,19876.0,,,,,,,,,,,,4.0026565,3.9425268,0.17848727,0.0519388,0.48914355,0.30195957,105.58609,103.30049,103.34406,90.99809
Joe Mantiply,ari,FA,RP,43.0,0.7,7970546.15,,,14857.0,,,,,,,,,,,,4.054672,3.9653637,0.1876583,0.060889855,0.49567264,0.2983509,107.22829,102.479126,103.053,90.82528
Ryan Thompson,ari,FA,RP,42.0,0.6,6831896.7,,,16647.0,,,,,,,,,,,,4.182501,4.0983977,0.20098345,0.082422175,0.5186886,0.283914,105.72589,100.45237,101.10746,90.98867
Gabriel Moreno,ari,FA,C,34.0,0.5091484464707653,5797415.99,,,22664.0,0.061929047,0.15821356,0.26497614,0.31836897,0.40612856,0.31556946,100.098335,88.79827,3.3648455666332726,-3.416175122838468,-13.860233791998294,,,,,,,,,,
Kyle Nelson,ari,FA,RP,37.0,0.4,4554597.8,,,20515.0,,,,,,,,,,,,4.380679,4.0592694,0.19900554,0.053435434,0.37717435,0.398357,102.793335,103.75044,103.476974,93.44017
Justin Martinez,ari,FA,RP,32.0,0.4,4554597.8,,,24453.0,,,,,,,,,,,,4.4198074,4.171324,0.21023925,0.10273875,0.51273626,0.2801813,104.27398,96.58584,99.40489,93.333595
Seth Martinez,ari,FA,RP,39.0,0.3,3415948.35,,,21045.0,,,,,,,,,,,,4.572831,4.1553574,0.1977955,0.06103661,0.38087538,0.39696822,101.664764,102.570274,102.479164,93.22607
Bryce Jarvis,ari,FA,RP,36.0,0.3,3415948.35,,,27477.0,,,,,,,,,,,,4.58173,4.1234007,0.20794034,0.06638636,0.3701547,0.41131368,103.08565,102.52864,102.85554,94.08687
A.J. Puk,ari,FA,RP,39.0,0.2,2277298.9,,,19343.0,,,,,,,,,,,,4.6718693,4.1880393,0.20599288,0.0734122,0.38981828,0.39423394,102.498795,101.33933,101.88548,93.747406
Ketel Marte,ari,FA,2B,40.0,-0.2174142382615082,0.0,,,13613.0,0.062313892,0.28038794,0.20495348,0.26722237,0.3263512,0.26688898,62.89752,88.64028,-21.569061023433036,-5.815539518371224,6.352722883224487,,,,,,,,,,
Ryne Nelson,ari,FA,SP,36.0,-0.6,0.0,,,26253.0,,,,,,,,,,,,5.284802,5.3654184,0.15973483,0.080890775,0.36011097,0.43135977,85.3362,101.412415,96.46286,89.263
Tommy Henry,ari,FA,SP,36.0,-0.6,0.0,,,26285.0,,,,,,,,,,,,5.2680674,5.3381333,0.1646109,0.083195806,0.35404375,0.4365584,85.54651,101.260574,96.43729,89.133865
Brandon Pfaadt,ari,FA,SP,35.0,-0.6,0.0,,,27782.0,,,,,,,,,,,,5.250531,5.3307724,0.15989137,0.0787697,0.36599505,0.42768767,84.93276,101.51434,96.47514,89.55231
Eduardo Rodriguez,ari,FA,SP,41.0,-0.8,0.0,,,13164.0,,,,,,,,,,,,5.3811016,5.4465456,0.16024137,0.08531952,0.35959566,0.43232235,87.9798,101.17949,96.75242,88.93378
Jordan Montgomery,ari,FA,SP,41.0,-0.8,0.0,,,16511.0,,,,,,,,,,,,5.3901215,5.460467,0.15691842,0.08305713,0.3665272,0.42565632,88.02224,101.2618,96.84424,89.014725
Merrill Kelly,ari,FA,SP,45.0,-0.9,0.0,,,11156.0,,,,,,,,,,,,5.4324055,5.506481,0.15301117,0.08143005,0.38130167,0.40656808,90.61225,101.24874,97.29324,88.62633
Jake McCarthy,ari,FA,OF,36.0,-0.9686511945186438,0.0,,,21622.0,0.06316315,0.2201672,0.23806219,0.29468298,0.36105856,0.28974694,81.63917,88.44989,-9.861323344998242,-3.957101788837463,-14.575574696063995,,,,,,,,,,
Lourdes Gurriel Jr.,ari,FA,LF,40.0,-2.963236771402498,0.0,,,19238.0,0.05880473,0.31469852,0.18339205,0.24505885,0.28636315,0.24405605,46.588707,87.88092,-33.263976434381995,-6.329776496859267,-8.347185552120209,,,,,,,,,,
Pavin Smith,ari,FA,OF,38.0,-3.634382935793796,0.0,,,19892.0,0.069334984,0.29787385,0.19607839,0.2643617,0.31719127,0.26282263,59.93974,88.317245,-23.651824672047685,-5.7357699098065495,-25.13057631254196,,,,,,,,,,
