Player Name,Team,Status,Position,Age,WAR,Base_Value,Contract_Value,Surplus_Value,IDfg,BB%_bat,K%_bat,AVG,OBP,SLG,wOBA,wRC+,EV,Off,BsR,Def,WAR_batter,ERA,FIP,SIERA,K%_pit,BB%_pit,WAR_pitcher
Corbin Carroll,ari,FA,OF,34.0,3.187271915416977,39500980.77,,,25878.0,0.085083425,0.15728053,0.28501898,0.35208872,0.47990206,0.35683453,131.61574,92.16645,24.500613352147543,-3.8693752710241824,-8.297191433653978,3.187271915416977,,,,,,
Gabriel Moreno,ari,FA,C,35.0,1.994838417522436,23622785.33,,,22664.0,0.059675038,0.17695963,0.25773355,0.31014875,0.39377633,0.30769885,94.48631,88.79712,-0.6664448017027303,-3.699438627809286,5.014081797614899,1.994838417522436,,,,,,
Geraldo Perdomo,ari,FA,SS,35.0,1.720925025608214,20379115.47,,,22799.0,0.059318088,0.20073882,0.24941051,0.30229825,0.38247597,0.29998118,89.28038,88.83068,-4.619397221541985,-3.806904758093879,6.39014910697937,1.720925025608214,,,,,,
Brandon Pfaadt,ari,FA,SP,36.0,1.3,15394540.56,,,27782.0,,,,,,,,,,,,,4.0253563,4.3616285,4.475325,0.22210672,0.073880605,1.3
Justin Martinez,ari,FA,RP,33.0,0.6,7105172.57,,,24453.0,,,,,,,,,,,,,3.9859474,4.1672993,3.9908757,0.23585825,0.10982683,0.6
Ryan Thompson,ari,FA,RP,43.0,0.4,4736781.71,,,16647.0,,,,,,,,,,,,,4.330656,4.4632087,4.1953015,0.14706981,0.085292555,0.4
Kevin Ginkel,ari,FA,RP,41.0,0.4,4736781.71,,,19876.0,,,,,,,,,,,,,4.3398466,4.475152,4.187092,0.17763619,0.093026035,0.4
Seth Martinez,ari,FA,RP,40.0,0.4,4736781.71,,,21045.0,,,,,,,,,,,,,4.307001,4.479591,4.157824,0.16490152,0.08719,0.4
Bryce Jarvis,ari,FA,RP,37.0,0.4,4736781.71,,,27477.0,,,,,,,,,,,,,4.2375855,4.441769,4.112376,0.18237437,0.08715476,0.4
Alek Thomas,ari,FA,CF,35.0,0.3680622683730898,4358576.55,,,23792.0,0.055362087,0.22491924,0.23817769,0.2901108,0.3688887,0.2897741,81.95962,88.83491,-9.84741729061778,-4.3145736248698086,-1.1322169780731204,0.3680622683730898,,,,,,
Joe Mantiply,ari,FA,RP,44.0,0.3,3552586.28,,,14857.0,,,,,,,,,,,,,4.4385605,4.510809,4.2460723,0.15662116,0.08565885,0.3
A.J. Puk,ari,FA,RP,40.0,0.3,3552586.28,,,19343.0,,,,,,,,,,,,,4.3771477,4.513812,4.1770854,0.1737484,0.08435551,0.3
Kyle Nelson,ari,FA,RP,38.0,0.3,3552586.28,,,20515.0,,,,,,,,,,,,,4.3221025,4.489203,4.159164,0.18235424,0.08542457,0.3
Merrill Kelly,ari,FA,SP,46.0,0.2,2368390.86,,,11156.0,,,,,,,,,,,,,4.9100604,4.86309,4.964116,0.12885572,0.054095566,0.2
Eduardo Rodriguez,ari,FA,SP,42.0,-0.0,0.0,,,13164.0,,,,,,,,,,,,,4.870409,4.963217,5.043262,0.13323662,0.06178277,-0.0
Jordan Montgomery,ari,FA,SP,42.0,-0.0,0.0,,,16511.0,,,,,,,,,,,,,4.830304,4.9701934,5.0731397,0.13675903,0.065702036,-0.0
Ryne Nelson,ari,FA,SP,37.0,-0.2,0.0,,,26253.0,,,,,,,,,,,,,4.7519736,5.0697026,5.1685014,0.15928541,0.07617564,-0.2
Tommy Henry,ari,FA,SP,37.0,-0.2,0.0,,,26285.0,,,,,,,,,,,,,4.729288,5.0811343,5.1687202,0.16175663,0.07674597,-0.2
Ketel Marte,ari,FA,2B,41.0,-1.4075123313221052,0.0,,,13613.0,0.06361961,0.30069885,0.19170874,0.25662825,0.30532432,0.25595415,54.43089,88.26648,-27.16982746124268,-6.059355848701671,0.5343443393707275,-1.4075123313221052,,,,,,
Jake McCarthy,ari,FA,OF,37.0,-1.826826096564227,0.0,,,21622.0,0.062308107,0.24466363,0.2254302,0.2834567,0.34532523,0.27956328,73.82029,88.46256,-15.077345435212296,-4.636168557917699,-17.09059987681642,-1.826826096564227,,,,,,
Jose Herrera,ari,FA,C,38.0,-3.3017690287099217,0.0,,,17040.0,0.08410028,0.30866644,0.1831487,0.25764522,0.27179298,0.24931602,50.13418,86.06703,-30.569842492661824,-2.3923276306595653,-18.296384481652836,-3.3017690287099217,,,,,,
Lourdes Gurriel Jr.,ari,FA,LF,41.0,-4.1208057950935535,0.0,,,19238.0,0.060313698,0.33293495,0.17137696,0.23513009,0.26702356,0.2341167,38.92479,87.531815,-38.35485929977603,-6.464553225087002,-14.465702390670778,-4.1208057950935535,,,,,,
Eugenio Suarez,ari,FA,3B,43.0,-4.317954478409882,0.0,,,12552.0,0.059368126,0.38180196,0.14145854,0.20225923,0.21009156,0.2010042,14.233723,86.22011,-55.31491829709309,-6.2138241781212855,0.3115704631805416,-4.317954478409882,,,,,,
Pavin Smith,ari,FA,1B/RF,39.0,-4.910840887364977,0.0,,,19892.0,0.06826423,0.31581104,0.18409282,0.25301692,0.29503804,0.2511435,51.26035,87.90912,-29.633824598498457,-5.91371142771095,-31.479922793584365,-4.910840887364977,,,,,,
Anthony Maldonado,ath,FA,RP,37.0,0.5,5920977.14,,,26034.0,,,,,,,,,,,,,4.1471434,4.2935796,4.078662,0.20841423,0.10131696,0.5
Mason Miller,ath,FA,RP,36.0,0.5,5920977.14,,,31757.0,,,,,,,,,,,,,4.2151027,4.329853,4.061507,0.21802141,0.09640241,0.5
