CB,CH,CMD,FB,FB Type,Fld,Name,Org,Pos,RPM Break,RPM FB,SL,Sits,TJ Date,Tops,Age,B,Bonus,Current Level,ETA,FV,Ht,Org Rk,Report,Risk,Sign Mkt,Sign Org,Sign Yr,Signed,Signed From,T,Top 100,Trend,Video,Wt,Year,MLB_Debut,Years_Played,Games_Played,WAR_Sum
60,57.5,45,70,,,Alex Reyes,StL,RHP,,,47.5,,,,22,R,,,2017,65,"6' 3""",1,,,,,,J2 2012,Dominican Republlic,R,6,,,220,2017,2018,4,89,0.4
60,60,45,65,,,Anderson Espinoza,SDP,RHP,,,,,,,18,R,,,2019,60,"6' 0""",1,,,,,,J2 2014,Venezuela,R,10,,,170,2017,2022,1,7,-0.5
60,60,45,65,,,Anderson Espinoza,SDP,RHP,,,,,,,19,R,,,2019,50,"6' 0""",5,,High,,,,J2 2014,Venezuela,R,62,,,170,2018,2022,1,7,-0.5
60,60,45,65,,,Anderson Espinoza,SDP,RHP,,,,,,,22.3,R,,,2020,50,"6' 0""",9,,High,,,,2014 J2 (BOS),Venezuela,R,114,,,170,2019,2022,1,7,-0.5
60,60,45,65,,,Anderson Espinoza,SDP,RHP,,,,,,,22.8,R,,,2020,40+,"6' 0""",17,,,,,,,Venezuela,R,,,,170,2020,2022,1,7,-0.5
45,50,47.5,65,,,Yadier Alvarez,LAD,RHP,,,55,,,,20,R,,,2019,60,"6' 3""",1,,,,,,J2 2015,Cuba,R,12,,,175,2017,,0,0,0
45,50,47.5,65,,,Yadier Alvarez,LAD,RHP,,,55,,,,22,R,,,2020,50,"6' 3""",3,,High,,,,J2 2015,Cuba,R,54,,,175,2018,,0,0,0
45,50,47.5,65,,,Yadier Alvarez,LAD,RHP,,,55,,,,23.1,R,,,2020,40,"6' 3""",21,,High,,,,2015 J2 (LAD),Cuba,R,,,,175,2019,,0,0,0
65,50,47.5,60,,,Francis Martes,HOU,RHP,,,,,,,21,R,,,2018,60,"6' 1""",1,,,,,,J2 2012,Dominican Republic,R,18,,,225,2017,2017,1,32,0.2
65,47.5,45,60,,,Lucas Giolito,CHW,RHP,,,35,,,,22,R,,MLB,2017,60,"6' 6""",2,,,,,,1st rd 2012,Harvard Westlake (CA),R,19,,,255,2017,2017,7,174,14.4
,52.5,37.5,70,,,Michael Kopech,CHW,RHP,,,55,,,,20,R,,MLB,2019,55,"6' 3""",3,,,,,,1st rd 2014,Mt Pleasant HS (TX),R,21,,,195,2017,2018,5,170,2
,52.5,37.5,70,,,Michael Kopech,CHW,RHP,,,55,,,,21,R,,MLB,2019,60,"6' 3""",2,,Medium,,,,1st rd 2014,Mt. Pleasant HS (TX),R,20,,,195,2018,2018,5,170,2
,52.5,37.5,70,,,Michael Kopech,CHW,RHP,,,55,,,,24.1,R,,MLB,2019,55,"6' 3""",2,,High,,,,2014 Draft Rnd 1 (BOS),Mt. Pleasant HS (TX),R,29,,,195,2019,2021,4,166,2.1
,52.5,37.5,70,,,Michael Kopech,CHW,RHP,,,55,,,,24.6,R,,MLB,2020,60,"6' 3""",2,,,,,,,Mt. Pleasant HS (TX),R,19,,,205,2020,2021,4,166,2.1
,62.5,50,57.5,,,Cal Quantrill,SDP,RHP,,,47.5,,,,21,L,,MLB,2018,55,"6' 3""",3,,,,,,1st rd 2016,Stanford,R,25,,,195,2017,2019,6,161,6.8
,62.5,50,57.5,,,Cal Quantrill,SDP,RHP,,,47.5,,,,23,L,,MLB,2018,50,"6' 3""",9,,,,,,1st rd 2016,Stanford,R,,,,195,2018,2019,6,161,6.8
,62.5,50,57.5,,,Cal Quantrill,SDP,RHP,,,47.5,,,,25.3,L,,MLB,2019,40,"6' 3""",27,,Med,,,,2016 Draft Rnd 1 (SDP),Stanford,R,,,,195,2019,2019,6,161,6.8
57.5,42.5,42.5,60,,,Tyler Glasnow,PIT,RHP,,,,,,,23,L,,MLB,2017,55,"6' 8""",2,,,,,,5th rd 2011,Hart HS (CA),R,26,,,220,2017,2017,8,142,13.5
57.5,45,47.5,70,,,Reynaldo López,CHW,RHP,,,,,,,22,R,,MLB,2017,55,"6' 0""",4,,,,,,J2 2012,Dominican Republic,R,28,,,185,2017,2017,8,256,11.9
62.5,45,47.5,57.5,,,Jay Groome,BOS,LHP,,,,,,,18,L,,AAA,2020,55,"6' 5""",3,,,,,,1st rd 2016,Barnegat HS (NJ),L,29,,,215,2017,,0,0,0
62.5,45,47.5,57.5,,,Jay Groome,BOS,LHP,,,,,,,19,L,,AAA,2021,50,"6' 5""",2,,High,,,,1st rd 2016,Barnegat HS (NJ),L,98,,,220,2018,,0,0,0
62.5,45,47.5,57.5,,,Jay Groome,BOS,LHP,,,,,,,21.8,L,,AAA,2021,40+,"6' 5""",8,,High,,,,2016 Draft Rnd 1 (BOS),Barnegat HS (NJ),L,,,,220,2019,,0,0,0
62.5,45,47.5,57.5,,,Jay Groome,BOS,LHP,,,,,,,22.3,L,,AAA,2021,40,"6' 5""",15,,,,,,,Barnegat HS (NJ),L,,,,220,2020,,0,0,0
,47.5,40,70,,,Riley Pint,COL,RHP,,,60,,,,19,R,,AAA,2020,55,"6' 4""",2,,,,,,1st rd 2016,St. Thomas Aquinas HS (KS),R,31,,,195,2017,2023,2,5,-0.2
,47.5,40,70,,,Riley Pint,COL,RHP,,,60,,,,20,R,,AAA,2021,50,"6' 4""",2,,High,,,,1st rd 2016,St. Thomas Aquinas HS (KS),R,75,,,210,2018,2023,2,5,-0.2
,47.5,40,70,,,Riley Pint,COL,RHP,,,60,,,,22.6,R,,AAA,2021,40+,"6' 4""",11,,High,,,,2016 Draft Rnd 1 (COL),St. Thomas Aquinas HS (KS),R,,,,210,2019,2023,2,5,-0.2
,47.5,40,70,,,Riley Pint,COL,RHP,,,60,,,,23.1,R,,AAA,2021,40+,"6' 4""",10,,,,,,,St. Thomas Aquinas HS (KS),R,,,,210,2020,2023,2,5,-0.2
40,57.5,50,60,,,Brent Honeywell,TBR,RHP,,,,,,,21,R,,MLB,2018,55,"6' 2""",2,,,,,,2nd rd 2014,Walters St CC,R,36,,,180,2017,2021,3,63,-0.5
40,57.5,50,60,,,Brent Honeywell,TBR,RHP,,,,,,,22,R,,MLB,2018,60,"6' 2""",2,,Low,,,,2nd rd 2014,Walters State JC (TN),R,15,,,180,2018,2021,3,63,-0.5
40,57.5,50,60,,,Brent Honeywell,TBR,RHP,,,,,,,25.2,R,,MLB,2019,55,"6' 2""",3,,High,,,,2014 Draft Rnd 2 (TBR),Walters State JC (TN),R,25,,,180,2019,2021,3,63,-0.5
40,57.5,50,60,,,Brent Honeywell,TBR,RHP,,,,,,,25.7,R,,MLB,2020,50,"6' 2""",5,,,,,,,Walters State JC (TN),R,71,,,180,2020,2021,3,63,-0.5
50,42.5,52.5,70,,,Robert Gsellman,NYM,RHP,,,55,,,,23,R,,,2017,55,"6' 4""",2,,,,,,13th rd 2011,Westchester HS (CA),R,39,,,205,2017,2017,6,176,1.1
57.5,47.5,52.5,52.5,,,Kolby Allard,ATL,LHP,,,,,,,19,L,,MLB,2019,55,"6' 1""",4,,,,,,1st rd 2015,San Clemente HS (CA),L,41,,,175,2017,2018,7,76,0.5
57.5,47.5,52.5,52.5,,,Kolby Allard,ATL,LHP,,,,,,,19,L,,MLB,2019,50,"6' 1""",11,,,,,,1st rd 2015,San Clemente HS (CA),L,,,,175,2018,2018,7,76,0.5
57.5,47.5,52.5,52.5,,,Kolby Allard,ATL,LHP,,,,,,,22.8,L,,MLB,2019,45,"6' 1""",12,,Med,,,,2015 Draft Rnd 1 (ATL),San Clemente HS (CA),L,,,,175,2019,2019,6,73,0.8
47.5,57.5,47.5,60,,,James Kaprielian,NYY,RHP,,,57.5,,,,23,R,,AAA,2018,55,"6' 4""",4,,,,,,1st rd 2015,UCLA,R,43,,,200,2017,2020,4,66,1.6
,57.5,55,55,,,José De León,TBR,RHP,,,50,,,,24,R,,,2016,55,"6' 2""",3,,,,,,24th rd 2013,Southern,R,44,,,190,2017,2017,5,30,0.1
,57.5,55,55,,,José De León,TBR,RHP,,,50,,,,25,R,,,2018,45,"6' 2""",20,,,,,,24th rd 2013,Southern,R,,,,220,2018,2019,4,29,0.3
,57.5,55,55,,,José De León,TBR,RHP,,,50,,,,27.8,R,,,2019,40+,"6' 2""",22,,High,,,,2013 Draft Rnd 24 (LA),Southern,R,,,,220,2019,2019,4,29,0.3
,57.5,55,55,,,José De León,LAD,RHP,,,50,,,,24,R,,,2016,55,"6' 2""",4,,,,,,24th rd 2013,Southern,R,44,,,190,2017,2017,5,30,0.1
57.5,47.5,55,60,,,Mitch Keller,PIT,RHP,,,,,,,20,R,,MLB,2019,55,"6' 3""",3,,,,,,2nd rd 2014,Xavier HS (IA),R,46,,,195,2017,2019,6,133,9.8
57.5,47.5,55,60,,,Mitch Keller,PIT,RHP,,,,,,,21,R,,MLB,2019,60,"6' 3""",1,,Medium,,,,2nd rd 2014,Xavier HS (IA),R,23,,,195,2018,2019,6,133,9.8
57.5,47.5,55,60,,,Mitch Keller,PIT,RHP,,,,,,,24.2,R,,MLB,2019,55,"6' 3""",2,,Med,,,,2014 Draft Rnd 2 (PIT),Xavier HS (IA),R,37,,,195,2019,2019,6,133,9.8
57.5,47.5,55,60,,,Mitch Keller,PIT,RHP,,,,,,,24.7,R,,MLB,2020,55,"6' 3""",3,,,,,,,Xavier HS (IA),R,34,,,210,2020,2020,5,122,8.5
57.5,47.5,42.5,57.5,,,Jeff Hoffman,COL,RHP,,,50,,,,23,R,,MLB,2016,55,"6' 5""",3,,,,,,1st rd 2014,East Carolina,R,47,,,225,2017,2017,8,248,4.7
57.5,45,55,57.5,,,Germán Márquez,COL,RHP,,,,,,,21,R,,MLB,2016,55,"6' 1""",4,,,,,,J2 2011,Venezuela,R,52,,,184,2017,2017,8,171,16.9
55,52.5,37.5,70,,,Sandy Alcantara,StL,RHP,,,,,,,21,R,,MLB,2018,55,"6' 4""",3,,,,,,J2 2013,Dominican Republlic,R,53,,,170,2017,2017,7,146,16.4
55,45,42.5,57.5,,,Ian Anderson,ATL,RHP,,,,,,,18,R,,MLB,2021,55,"6' 3""",6,,,,,,1st rd 2016,Shenendowa HS (NY),R,54,,,170,2017,2020,3,52,3.8
55,45,42.5,57.5,,,Ian Anderson,ATL,RHP,,,,,,,18,R,,MLB,2020,50,"6' 3""",6,,Medium,,,,1st rd 2016,Shenendowa HS (NY),R,45,,,170,2018,2020,3,52,3.8
55,45,42.5,57.5,,,Ian Anderson,ATL,RHP,,,,,,,22.1,R,,MLB,2020,55,"6' 3""",4,,Med,,,,2016 Draft Rnd 1 (ATL),Shenendowa HS (NY),R,38,,,170,2019,2020,3,52,3.8
55,45,42.5,57.5,,,Ian Anderson,ATL,RHP,,,,,,,21.7,R,,MLB,2020,55,"6' 3""",3,,,,,,,Shenendowa HS (NY),R,44,,,170,2020,2020,3,52,3.8
57.5,52.5,52.5,57.5,,,Triston McKenzie,CLE,RHP,,,,,,,19,R,,MLB,2020,55,"6' 5""",3,,,,,,1st rd 2015,Royal Palm Beach HS (FL),R,55,,,160,2017,2020,5,84,4.3
57.5,52.5,52.5,57.5,,,Triston McKenzie,CLE,RHP,,,,,,,20,R,,MLB,2020,50,"6' 5""",2,,Medium,,,,1st rd 2015,Royal Palm Beach HS (FL),R,51,,,160,2018,2020,5,84,4.3
57.5,52.5,52.5,57.5,,,Triston McKenzie,CLE,RHP,,,,,,,21.7,R,,MLB,2020,50,"6' 5""",2,,Med,,,,2015 Draft Rnd 1 (CLE),Royal Palm Beach HS (FL),R,76,,,160,2019,2020,5,84,4.3
57.5,52.5,52.5,57.5,,,Triston McKenzie,CLE,RHP,,,,,,,23.4,R,,MLB,2020,45,"6' 5""",10,,,,,,,Royal Palm Beach HS (FL),R,,,,165,2020,2020,5,84,4.3
55,45,40,65,,,Matt Manning,DET,RHP,,,,,,,18,R,,MLB,2020,55,"6' 6""",1,,,,,,1st rd 2016,Sheldon HS (CA),R,56,,,185,2017,2021,4,50,2.6
55,45,40,65,,,Matt Manning,DET,RHP,,,,,,,20,R,,MLB,2022,50,"6' 6""",4,,,,,,1st rd 2016,Sheldon HS (CA),R,,,,190,2018,2021,4,50,2.6
55,45,40,65,,,Matt Manning,DET,RHP,,,,,,,22.4,R,,MLB,2021,50,"6' 6""",2,,High,,,,2016 Draft Rnd 1 (DET),Sheldon HS (CA),R,96,,,190,2019,2021,4,50,2.6
55,45,40,65,,,Matt Manning,DET,RHP,,,,,,,22.9,R,,MLB,2021,60,"6' 6""",1,,,,,,,Sheldon HS (CA),R,12,,,215,2020,2021,4,50,2.6
47.5,52.5,50,60,,,Luis F. Ortiz,MIL,RHP,,,60,,,,21,R,,MLB,2018,55,"6' 3""",3,,,,,,1st rd 2014,Sanger HS (TX),R,57,,,240,2017,,0,0,0
