name,organization,team_slug,year,top_100_rank,position,level,top_100,scraped_at
Konnor Griffin,Pittsburgh Pirates,pirates,2026,1,SS/OF,AA,True,2026-01-28T11:57:05.619299
Kevin McGonigle,Detroit Tigers,tigers,2026,2,SS,AA,True,2026-01-28T11:57:05.666504
Jesús Made,Milwaukee Brewers,brewers,2026,3,SS/2B,AA,True,2026-01-28T11:57:05.700582
Leo De Vries,Athletics,athletics,2026,4,SS,AA,True,2026-01-28T11:57:05.735343
JJ Wetherholt,St. Louis Cardinals,cardinals,2026,5,INF,AAA,True,2026-01-28T11:57:05.769672
Nolan McLean,New York Mets,mets,2026,6,RHP,MLB,True,2026-01-28T11:57:05.803445
Sebastian Walcott,Texas Rangers,rangers,2026,7,SS/3B,AA,True,2026-01-28T11:57:05.839715
Samuel Basallo,Baltimore Orioles,orioles,2026,8,C/1B,MLB,True,2026-01-28T11:57:05.875122
Colt Emerson,Seattle Mariners,mariners,2026,9,SS,AAA,True,2026-01-28T11:57:05.913775
Max Clark,Detroit Tigers,tigers,2026,10,OF,AA,True,2026-01-28T11:57:05.948015
Bubba Chandler,Pittsburgh Pirates,pirates,2026,11,RHP,MLB,True,2026-01-28T11:57:05.982136
Trey Yesavage,Toronto Blue Jays,bluejays,2026,12,RHP,MLB,True,2026-01-28T11:57:06.078415
Eli Willits,Washington Nationals,nationals,2026,13,SS,A,True,2026-01-28T11:57:06.134689
Walker Jenkins,Minnesota Twins,twins,2026,14,OF,AAA,True,2026-01-28T11:57:06.172928
Josue De Paula,Los Angeles Dodgers,dodgers,2026,15,OF,AA,True,2026-01-28T11:57:06.210887
Carson Benge,New York Mets,mets,2026,16,OF,AAA,True,2026-01-28T11:57:06.244222
Thomas White,Miami Marlins,marlins,2026,17,LHP,AAA,True,2026-01-28T11:57:06.286623
Carter Jensen,Kansas City Royals,royals,2026,18,C,MLB,True,2026-01-28T11:57:06.322957
Payton Tolle,Boston Red Sox,redsox,2026,19,LHP,MLB,True,2026-01-28T11:57:06.364195
Travis Bazzana,Cleveland Guardians,guardians,2026,20,2B,AAA,True,2026-01-28T11:57:06.400762
Kade Anderson,Seattle Mariners,mariners,2026,21,LHP,ROK,True,2026-01-28T11:57:06.437968
Sal Stewart,Cincinnati Reds,reds,2026,22,INF,MLB,True,2026-01-28T11:57:06.500076
Aidan Miller,Philadelphia Phillies,phillies,2026,23,SS,AAA,True,2026-01-28T11:57:06.545559
Ethan Holliday,Colorado Rockies,rockies,2026,24,SS,A,True,2026-01-28T11:57:06.595906
Bryce Eldridge,San Francisco Giants,giants,2026,25,1B,MLB,True,2026-01-28T11:57:06.638404
Luis Peña,Milwaukee Brewers,brewers,2026,26,INF,A+,True,2026-01-28T11:57:06.674905
Zyhir Hope,Los Angeles Dodgers,dodgers,2026,27,OF,AA,True,2026-01-28T11:57:06.715227
Andrew Painter,Philadelphia Phillies,phillies,2026,28,RHP,MLB,True,2026-01-28T11:57:06.754684
Seth Hernandez,Pittsburgh Pirates,pirates,2026,29,RHP,ROK,True,2026-01-28T11:57:06.793108
Eduardo Quintero,Los Angeles Dodgers,dodgers,2026,30,OF,A+,True,2026-01-28T11:57:06.831984
Franklin Arias,Boston Red Sox,redsox,2026,31,SS,AA,True,2026-01-28T11:57:06.872468
George Lombard Jr.,New York Yankees,yankees,2026,32,INF,AA,True,2026-01-28T11:57:06.908350
Ryan Sloan,Seattle Mariners,mariners,2026,33,RHP,A+,True,2026-01-28T11:57:06.941538
Liam Doyle,St. Louis Cardinals,cardinals,2026,34,LHP,AA,True,2026-01-28T11:57:06.978645
Bryce Rainer,Detroit Tigers,tigers,2026,35,SS,A,True,2026-01-28T11:57:07.012040
Braden Montgomery,Chicago White Sox,whitesox,2026,36,OF,AA,True,2026-01-28T11:57:07.049069
Rainiel Rodriguez,St. Louis Cardinals,cardinals,2026,37,C,A+,True,2026-01-28T11:57:07.087177
Alfredo Duno,Cincinnati Reds,reds,2026,38,C,A,True,2026-01-28T11:57:07.121729
Robby Snelling,Miami Marlins,marlins,2026,39,LHP,AAA,True,2026-01-28T11:57:07.162564
Josue Briceño,Detroit Tigers,tigers,2026,40,C/1B,AA,True,2026-01-28T11:57:07.200308
Jamie Arnold,Athletics,athletics,2026,41,LHP,ROK,True,2026-01-28T11:57:07.239400
Owen Caissie,Miami Marlins,marlins,2026,42,OF,MLB,True,2026-01-28T11:57:07.276962
Lazaro Montes,Seattle Mariners,mariners,2026,43,OF,AA,True,2026-01-28T11:57:07.317269
Josuar Gonzalez,San Francisco Giants,giants,2026,44,SS,ROK,True,2026-01-28T11:57:07.357636
JoJo Parker,Toronto Blue Jays,bluejays,2026,45,SS,ROK,True,2026-01-28T11:57:07.396299
Chase DeLauter,Cleveland Guardians,guardians,2026,46,OF,MLB,True,2026-01-28T11:57:07.434374
Aiva Arquette,Miami Marlins,marlins,2026,47,SS,A+,True,2026-01-28T11:57:07.472638
Jonah Tong,New York Mets,mets,2026,48,RHP,MLB,True,2026-01-28T11:57:07.510326
Noah Schultz,Chicago White Sox,whitesox,2026,49,LHP,AAA,True,2026-01-28T11:57:07.546056
Edward Florentino,Pittsburgh Pirates,pirates,2026,50,OF/1B,A,True,2026-01-28T11:57:07.581536
Jett Williams,Milwaukee Brewers,brewers,2026,51,SS/2B/OF,AAA,True,2026-01-28T11:57:07.615470
Kaelen Culpepper,Minnesota Twins,twins,2026,52,SS,AA,True,2026-01-28T11:57:07.654716
Justin Crawford,Philadelphia Phillies,phillies,2026,53,OF,AAA,True,2026-01-28T11:57:07.690296
Travis Sykora,Washington Nationals,nationals,2026,54,RHP,AA,True,2026-01-28T11:57:07.726295
