player,year,team,salary,source,mlbam_id,fg_id
26-man Opening Day Payroll,2020,ATH/ATL/BAL/CHC/CHW/CIN/CLE/COL/DET/HOU/KC/LAA/LAD/MIA/MIL/MIN/NYM/NYY/PHI/PIT/SD/SEA/SF/STL/TBR/TEX/WSN,3818985844,cots,,
28-man Opening Day Payroll,2022,ATL/BAL/MIA/PHI,529488681,cots,,
30-man Opening Day Payroll,2020,ARI/BOS/TOR,427693840,cots,,
40-man players in minors,2024,ARI/ATH/ATL/BAL/BOS/CHC/CHW/CIN/CLE/COL/DET/HOU/KC/LAA/LAD/MIA/MIL/MIN/NYM/NYY/PHI/PIT/SEA/SF,54000000,cots,,
40-man players in minors,2025,ARI/ATH/ATL/BAL/BOS/CHC/CHW/CIN/CLE/COL/DET/HOU/KC/LAA/LAD/MIA/MIL/MIN/NYM/NYY/PHI/PIT/SD/SEA/SF/STL/TBR/TEX/TOR/WSN,78120000,cots,,
40-man roster players in minors,2024,SD/STL/TBR/TEX/TOR/WSN,13500000,cots,,
A.J. Burnett,2014,PHI,11250000,cots,150359,512
A.J. Burnett,2015,PIT,8500000,cots,150359,512
A.J. Cole,2018,WSN,555300,cots,595918,11467
A.J. Cole,2020,TOR,850000,cots,595918,11467
A.J. Ellis,2011,LAD,421000,lahman,454560,5677
A.J. Ellis,2012,LAD,490000,lahman,454560,5677
A.J. Ellis,2013,LAD,2000000,lahman,454560,5677
A.J. Ellis,2014,LAD,3550000,lahman,454560,5677
A.J. Ellis,2015,LAD,4250000,lahman,454560,5677
A.J. Ellis,2016,LAD,4500000,lahman,454560,5677
A.J. Ellis,2017,MIA,2500000,cots,454560,5677
A.J. Ellis,2018,SD,1250000,cots,454560,5677
A.J. Griffin,2013,OAK,492500,lahman,456167,11132
A.J. Griffin,2014,ATH,505000,cots,456167,11132
A.J. Griffin,2015,ATH,517500,cots,456167,11132
A.J. Griffin,2017,TEX,2000000,cots,456167,11132
A.J. Minter,2018,ATL,555000,cots,621345,18655
A.J. Minter,2019,ATL,575000,cots,621345,18655
A.J. Minter,2020,ATL,583500,cots,621345,18655
A.J. Minter,2021,ATL,1300000,cots,621345,18655
A.J. Minter,2022,ATL,2200000,cots,621345,18655
A.J. Minter,2023,ATL,4287500,cots,621345,18655
A.J. Minter,2024,ATL,6220000,cots,621345,18655
A.J. Minter,2025,NYM,11000000,spotrac,621345,18655
A.J. Minter,2026,NYM,11000000,spotrac,621345,18655
A.J. Pierzynski,2014,BOS,8250000,cots,150229,746
A.J. Pierzynski,2015,ATL,2000000,cots,150229,746
A.J. Pierzynski,2016,ATL,3000000,cots,150229,746
A.J. Pollock,2013,ARI,491000,lahman,572041,9256
A.J. Pollock,2014,ARI,507000,lahman,572041,9256
A.J. Pollock,2015,ARI,519500,lahman,572041,9256
A.J. Pollock,2016,ARI,3500000,lahman,572041,9256
A.J. Pollock,2017,ARI,6750000,cots,572041,9256
A.J. Pollock,2018,ARI,7750000,cots,572041,9256
A.J. Pollock,2019,LAD,4000000,cots,572041,9256
A.J. Pollock,2020,LAD,15000000,cots,572041,9256
A.J. Pollock,2021,LAD,18000000,cots,572041,9256
A.J. Pollock,2022,CHW,14500000,cots,572041,9256
A.J. Puk,2020,ATH,563500,cots,640462,19343
A.J. Puk,2022,ATH,705000,cots,640462,19343
A.J. Puk,2023,MIA,736000,cots,640462,19343
A.J. Puk,2024,MIA,1800000,cots,640462,19343
A.J. Puk,2025,ARI,2950000,cots,640462,19343
A.J. Puk,2026,ARI,3100000,spotrac,640462,19343
A.J. Ramos,2014,MIA,510000,cots,,
A.J. Ramos,2015,MIA,530000,cots,,
A.J. Ramos,2016,MIA,3400000,cots,,
A.J. Ramos,2017,MIA,6550000,cots,,
A.J. Ramos,2018,NYM,9225000,cots,,
A.J. Schugel,2018,PIT,567000,cots,519263,11432
Aaron Altherr,2016,PHI,515500,lahman,571437,11270
Aaron Altherr,2017,PHI,538500,cots,571437,11270
Aaron Altherr,2018,PHI,561000,cots,571437,11270
Aaron Altherr,2019,PHI,1350000,cots,571437,11270
Aaron Ashby,2022,MIL,704500,cots,676879,23550
Aaron Ashby,2023,MIL,1200000,spotrac,676879,23550
Aaron Ashby,2024,MIL,1450000,spotrac,676879,23550
Aaron Ashby,2025,MIL,3450000,spotrac,676879,23550
Aaron Ashby,2026,MIL,5700000,spotrac,676879,23550
Aaron Ashby,2027,MIL,7700000,spotrac,676879,23550
Aaron Ashby,2028,MIL,9000000,spotrac,676879,23550
Aaron Ashby,2029,MIL,13000000,spotrac,676879,23550
Aaron Barrett,2014,WSN,500000,cots,502578,11243
Aaron Barrett,2015,WSN,514200,lahman,502578,11243
Aaron Barrett,2016,WSN,519400,lahman,502578,11243
Aaron Boone,1998,CIN,170000,lahman,111213,311
Aaron Boone,1999,CIN,210000,lahman,111213,311
Aaron Boone,2000,CIN,300000,lahman,111213,311
Aaron Boone,2001,CIN,400000,lahman,111213,311
Aaron Boone,2002,CIN,2100000,lahman,111213,311
Aaron Boone,2003,CIN,3700000,lahman,111213,311
Aaron Boone,2005,CLE,3000000,lahman,111213,311
Aaron Boone,2006,CLE,3750000,lahman,111213,311
Aaron Boone,2007,FLA,925000,lahman,111213,311
Aaron Boone,2008,WSN,1000000,lahman,111213,311
Aaron Boone,2009,HOU,750000,lahman,111213,311
Aaron Brooks,2016,CHC,510000,lahman,605156,12272
Aaron Brooks,2019,ATH,560000,cots,605156,12272
Aaron Brooks,2022,STL,1400000,cots,605156,12272
Aaron Bummer,2018,CHW,549000,cots,607481,16258
Aaron Bummer,2020,CHW,1000000,cots,607481,16258
