2026-01-04 13:00:59,576 | INFO     | add_top_100_to_csv:1041 | Adding top 100 ranks to ..\data\prospect_data\mlb_prospects_complete.csv
2026-01-04 13:01:00,992 | DEBUG    | create_driver:270 | WebDriver initialized successfully
2026-01-04 13:01:00,992 | INFO     | scrape_top_100:753 | ============================================================
2026-01-04 13:01:00,993 | INFO     | scrape_top_100:754 | Scraping Top 100 Prospects
2026-01-04 13:01:00,997 | INFO     | scrape_top_100:755 | ============================================================
2026-01-04 13:01:15,769 | DEBUG    | _click_show_full_list:508 | Clicked 'Show Full List' button
2026-01-04 13:01:18,807 | INFO     | scrape_top_100:771 | Found 100 top prospects
2026-01-04 13:01:18,936 | DEBUG    | scrape_top_100:805 |   [1] Konnor Griffin (pirates)
2026-01-04 13:01:18,993 | DEBUG    | scrape_top_100:805 |   [2] Kevin McGonigle (tigers)
2026-01-04 13:01:19,047 | DEBUG    | scrape_top_100:805 |   [3] Leo De Vries (athletics)
2026-01-04 13:01:19,100 | DEBUG    | scrape_top_100:805 |   [4] Jesús Made (brewers)
2026-01-04 13:01:19,149 | DEBUG    | scrape_top_100:805 |   [5] JJ Wetherholt (cardinals)
2026-01-04 13:01:19,198 | DEBUG    | scrape_top_100:805 |   [6] Sebastian Walcott (rangers)
2026-01-04 13:01:19,242 | DEBUG    | scrape_top_100:805 |   [7] Samuel Basallo (orioles)
2026-01-04 13:01:19,285 | DEBUG    | scrape_top_100:805 |   [8] Max Clark (tigers)
2026-01-04 13:01:19,328 | DEBUG    | scrape_top_100:805 |   [9] Colt Emerson (mariners)
2026-01-04 13:01:19,385 | DEBUG    | scrape_top_100:805 |   [10] Walker Jenkins (twins)
2026-01-04 13:01:19,455 | DEBUG    | scrape_top_100:805 |   [11] Nolan McLean (mets)
2026-01-04 13:01:19,508 | DEBUG    | scrape_top_100:805 |   [12] Bryce Eldridge (giants)
2026-01-04 13:01:19,571 | DEBUG    | scrape_top_100:805 |   [13] Josue De Paula (dodgers)
2026-01-04 13:01:19,630 | DEBUG    | scrape_top_100:805 |   [14] Bubba Chandler (pirates)
